1055301860028; FENTABBOTT; FENTABBOTT; NOT FOUND; 0.05 MG/ML SOL INJ CX 25 AMP VD INC X 5 ML; ABT
1055301860036; FENTABBOTT; FENTABBOTT; NOT FOUND; 0.05 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML; ABT
1008201250056; FINEX; FINEX; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; ABT
1008201550017; FEMOSTON; FEMOSTON; NOT FOUND; 1 MG COM REV BCO + (1+ 10) MG COM REV CINZA CT BL AL PLAS INC X ( 14+14); ABT
1008201550033; FEMOSTON CONTI; FEMOSTON CONTI; NOT FOUND; (1+ 5) MG COM REV CT 1 BL AL PLAS INC X 28 (CONTI); ABT
1055303490015; FEMOSTON; FEMOSTON; NOT FOUND; 1 MG COM REV BCO + (1+ 10) MG COM REV CINZA CT BL AL PLAS INC X ( 14+14); ABT
1055303490031; FEMOSTON; FEMOSTON; NOT FOUND; (1+ 5) MG COM REV CT BL AL PLAS INC X 28 (CONTI); ABT
1008200770021; FAMOSET; FAMOSET; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAST INC X 10 ; ABT
1008200770048; FAMOSET; FAMOSET; NOT FOUND; 40 MG COM REV CT 3 BL AL PLAST INC X 10; ABT
1055301560010; FORANE; FORANE; NOT FOUND; INAL CT FR VD AMB X 100 ML; ABT
1055301560029; FORANE; FORANE; NOT FOUND; INAL CT FR VD AMB X 240 ML; ABT
