1055302810016; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; ABT
1055302760019; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 1; ABT
1055302880014; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + COLHER; ABT
1055302770014; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 2 BL AL PLAS INC X 6; ABT
1055302770022; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7; ABT
1055302820021; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP CT 2 BL AL PLAS INC X 10; ABT
1055302820011; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP CT 2 BL AL PLAS INC X 6; ABT
1011601890052; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT 2 BL AL PLAS INC X 14; ABT
1011601890060; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT 2 BL AL PLAS INC X 14; ABT
1055302220014; ABBOTTRACURIUM; ABBOTTRACURIUM; NOT FOUND; 10 MG/ML SOL INJ CX AMP VD INC X 2.5 ML; ABT
1055302220022; ABBOTTRACURIUM; ABBOTTRACURIUM; NOT FOUND; 10 MG/ML SOL INJ CX AMP VD INC X 5 ML; ABT
1055302280025; AVONEX; AVONEX; NOT FOUND; 30 MCG/FA BIO SET KIT PO LIOF INJ+SER DIL+ AG CT X; ABT
1055302280017; AVONEX; AVONEX; NOT FOUND; 30 MCG/FA KIT PO LIOF INJ+SER DIL+2 AG CT X 4 ENV; ABT
1055302280033; AVONEX; AVONEX; NOT FOUND; 30 MCG SOL INJ CT 4 BL X SER X 0.5 ML + 4 AGU; ABT
1055303340021; AKINETON; AKINETON; NOT FOUND; 2 MG COM CT 4 BL AL PLAS AMB X 20; ABT
1055303340080; AKINETON; AKINETON; NOT FOUND; 4 MG RETARD COM REV CT 2 BL AL PLAS INC X 15; ABT
1055303350019; ACTOS MET; ACTOS MET; NOT FOUND; 15 MG + 500 MG COM REV CT FR PLAS OPC X 30; ABT
1055303350035; ACTOS MET; ACTOS MET; NOT FOUND; 15 MG + 850MG COM REV CT FR PLAST OPC X30; ABT
1055303350027; ACTOS MET; ACTOS MET; NOT FOUND; 15 MG + 500MG COM REV CT FR PLAST OPC X60; ABT
1055303350043; ACTOS MET; ACTOS MET; NOT FOUND; 15 MG + 850MG COM REV CT FR PLAST OPC X60; ABT
1055302380011; ACTOS; ACTOS; NOT FOUND; 15 MG COM CT FR PLAS OPC X 15; ABT
1055302380046; ACTOS; ACTOS; NOT FOUND; 30 MG COM CT FR PLAS OPC X 15; ABT
1055302380070; ACTOS; ACTOS; NOT FOUND; 45 MG COM CT FR PLAS OPC X 15; ABT
1055302380021; ACTOS; ACTOS; NOT FOUND; 15 MG COM CT FR PLAS OPC X 30; ABT
1055302380054; ACTOS; ACTOS; NOT FOUND; 30 MG COM CT FR PLAS OPC X 30; ABT
1055302380089; ACTOS; ACTOS; NOT FOUND; 45 MG COM CT FR PLAS OPC X 30; ABT
1008201420016; ALFASIN; ALFASIN; NOT FOUND; 1 MG COMP REV CT 3 STR AL X 10; ABT
