1055303450021; DICETEL; DICETEL; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; ABT
1055303450064; DICETEL; DICETEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; ABT
1008201720087; DICETEL; DICETEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 60; ABT
1008201720052; DICETEL; DICETEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 10; ABT
1008201720060; DICETEL; DICETEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; ABT
1008201720079; DICETEL; DICETEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; ABT
1008201720011; DICETEL; DICETEL; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 10; ABT
1008201720028; DICETEL; DICETEL; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; ABT
1008201720036; DICETEL; DICETEL; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; ABT
1008201720044; DICETEL; DICETEL; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 60; ABT
1055302170017; DOBUTABBOTT; DOBUTABBOTT; NOT FOUND; 250 MG SOL INJ CX 10 FA VD INC X 20 ML; ABT
1055303530017; DUSPATALIN; DUSPATALIN; NOT FOUND; 200 MG CAP GEL DUR LIB PROLONG CT BL AL/AL X 30; ABT
1055303530025; DUSPATALIN; DUSPATALIN; NOT FOUND; 200 MG CAP GEL DUR LIB PROLONG CT BL AL/AL X 14; ABT
1008201520045; DUSPATALIN; DUSPATALIN; NOT FOUND; 200 MG CAP GEL DUR LIB PROLONG CT  BL AL PLAS INC X 30; ABT
1008201520053; DUSPATALIN; DUSPATALIN; NOT FOUND; 200 MG CAP GEL DUR LIB PROLONG CT BL AL/AL X 30; ABT
1055302670011; DILACORON; DILACORON; NOT FOUND; 2.5MG/ML SOL INJ CT 5 AMP VD INC X 2ML; ABT
1055302670060; DILACORON; DILACORON; NOT FOUND; 120 MG COM REV RETARD CT BL AL PLAS INC X 20; ABT
1055302670151; DILACORON; DILACORON; NOT FOUND; 240 MG COM REV RETARD CT BL AL PLAS AMB X 30; ABT
1055302670168; DILACORON; DILACORON; NOT FOUND; 240MG COM REVES RETARD CT BL AL PLAS AMB X 10; ABT
1055302670087; DILACORON; DILACORON; NOT FOUND; 80MG COM REV CT BL AL PLAS AMB X 30; ABT
1008200690081; DELTACID; DELTACID; NOT FOUND; 0.2 MG/ML LOC CT FR PLAS OPC X 100 ML; ABT
1008200690014; DELTACID; DELTACID; NOT FOUND; 0.2 MG/ML XAMP CT FR PLAS OPC X 100 ML; ABT
1008200690228; DELTACID; DELTACID; NOT FOUND; 0.3 MG/G SAB CT 1 X 70 MG; ABT
1008200690015; DELTACID PLUS; DELTACID PLUS; NOT FOUND; 0.2 MG/ML LOC CT FR PLAS OPC X 100 ML; ABT
1008200690023; DELTACID PLUS; DELTACID PLUS; NOT FOUND; 0.2 MG/ML SHAMP CT FR PLAS OPC X 100 ML; ABT
1008200690031; DELTACID PLUS; DELTACID PLUS; NOT FOUND; 0.2 MG/ML SHAMP CT FR PLAS OPC X 100 ML FLOR DO CAMPO; ABT
1008200690041; DELTACID PLUS; DELTACID PLUS; NOT FOUND; 0.2 MG/ML SHAMP CT FR PLAS OPC X 100 ML MACA VERDE; ABT
1055303470022; DUPHASTON; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 14; ABT
1055303470049; DUPHASTON; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 28; ABT
1008201540021; DUPHASTON; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 14; ABT
1008201540046; DUPHASTON; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 28; ABT
1055302790015; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; ABT
1055302800010; DIPIRONA; DIPIRONA; DIPIRONA; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; ABT
1055302800029; DIPIRONA; DIPIRONA; DIPIRONA; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; ABT
1055302030037; DEPAKOTE; DEPAKOTE; NOT FOUND; 250 MG COM REV CT FR VD AMB X 20  ; ABT
1055302030053; DEPAKOTE; DEPAKOTE; NOT FOUND; 500 MG COM REV CT FR VD AMB X 20 ; ABT
1055302030258; DEPAKOTE; DEPAKOTE; NOT FOUND; 250 MG COM REV CT FR VD AMB X 30; ABT
1055302030290; DEPAKOTE; DEPAKOTE; NOT FOUND; 500 MG COM REV CT FR VD AMB X 30; ABT
1055302030071; DEPAKOTE SPRINKLE; DEPAKOTE SPRINKLE; NOT FOUND; 125 MG CAP GEL MCGRAN CT FR VD AMB X 30; ABT
1055302030312; DEPAKOTE SPRINKLE; DEPAKOTE SPRINKLE; NOT FOUND; 125 MG CAP GEL MCGRAN CT FR VD AMB X 10; ABT
1055302030371; DEPAKOTE SPRINKLE; DEPAKOTE SPRINKLE; NOT FOUND; 125 MG CAP GEL MCGRAN CT FR VD AMB X 60; ABT
1055302030193; DEPAKOTE ER; DEPAKOTE ER; NOT FOUND; 500 MG COM REV LIB PROL CT  BL AL PLAS INC X 20; ABT
1055302030207; DEPAKOTE ER; DEPAKOTE ER; NOT FOUND; 500 MG COM REV LIB PROL CT  BL AL PLAS INC X 30; ABT
1055302030304; DEPAKOTE ER; DEPAKOTE ER; NOT FOUND; 500 MG COM REV LIB PROL CT BL AL PLAS INC X 6; ABT
1055302030363; DEPAKOTE ER; DEPAKOTE ER; NOT FOUND; 250 MG COM REV LIB PROL CT BL AL PLAS INC X 30; ABT
1055302030339; DEPAKOTE ER; DEPAKOTE ER; NOT FOUND; 250 MG COM REV LIB PROL CT BL AL PLAS INC X 6; ABT
1055303180172; DALSY; DALSY; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; ABT
1055303180032; DALSY; DALSY; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS; ABT
1055303180016; DALSY; DALSY; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SER DOS; ABT
1055303180075; DALSY; DALSY; NOT FOUND; 200 MG COM REV CT 4 BL AL PVC/PDVC X 6; ABT
1055303180121; DALSY; DALSY; NOT FOUND; 400 MG COM REV CT BL AL PVC / PVDC X 10; ABT
1055303180067; DALSY; DALSY; NOT FOUND; 200 MG COM REV CT 2 BL AL PVC / PVDC X 6; ABT
1055303180113; DALSY; DALSY; NOT FOUND; 400 MG COM REV CT 3 BL AL PVC/PVDC X 10; ABT
1055303180083; DALSY; DALSY; NOT FOUND; 400 MG COM REV CT BL AL PLAS PVC/PVDC X 10; ABT
1055303180131; DALSY; DALSY; NOT FOUND; 600 MG COM REV CT 3 BL AL PVC/PVDC X 10; ABT
1055303180156; DALSY; DALSY; NOT FOUND; 600 MG COM REV CT 4 BL AL PVC/PVDC X 5; ABT
1055303180091; DALSY; DALSY; NOT FOUND; 400 MG COM REV CT 2 BL AL PLAS INC X 10; ABT
1055303180105; DALSY; DALSY; NOT FOUND; 400 MG COM REV CT 2 BL AL PVC/PVDC X 10; ABT
1055303180296; DALSY; DALSY; NOT FOUND; 400 MG COM REV CT DISPLAY BL AL PLAS INC X 100; ABT
1055303180318; DALSY; DALSY; NOT FOUND; 600 MG COM REV CT DISPLAY BL AL PLAS INC X 100; ABT
1055303180148; DALSY; DALSY; NOT FOUND; 600 MG COM REV CT 2 BL AL PVC/PVDC X 5; ABT
1055303180229; DALSY; DALSY; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 10; ABT
1055303380023; DUPHALAC; DUPHALAC; NOT FOUND; 667MG/ML XPE CT FR PLAS OPC X 200ML; ABT
1008201700086; DUPHALAC; DUPHALAC; NOT FOUND; 667MG/ML XPE CT 10 SACH X 15ML; ABT
1008201700019; DUPHALAC; DUPHALAC; NOT FOUND; 667MG/ML XPE CT FR VD AMB X 120ML; ABT
1008201700051; DUPHALAC; DUPHALAC; NOT FOUND; 667MG/ML XPE CT FR PLAS OPC X 200ML; ABT
