1055302000138; KLARICID; KLARICID; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC X CAPAC 10 ML; ABT
1055302000286; KLARICID; KLARICID; NOT FOUND; 125 MG/5ML GRAN SUS PED CT FR PLAS OPC X 42.29+SER; ABT
1055302000308; KLARICID; KLARICID; NOT FOUND; 250 MG/5ML GRAN SUS PED CT FR PLAS OPC X 42.29+SER; ABT
1055302000359; KLARICID; KLARICID; NOT FOUND; 25 MG/ML GRAN SUS PED CT FR PLAS OPC X 60 ML + SER DOS + ADAPT; ABT
1055302000367; KLARICID; KLARICID; NOT FOUND; 50 MG/ML GRAN SUS PED CT FR PLAS OPC X 60 ML + SER DOS + ADAPT; ABT
1055302000324; KLARICID; KLARICID; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 12; ABT
1055302000332; KLARICID; KLARICID; NOT FOUND; 250 MG COM REVES CT BL AL PLAS INC X 8; ABT
1055302000251; KLARICID; KLARICID; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; ABT
1055302000146; KLARICID; KLARICID; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; ABT
1055302000154; KLARICID UD; KLARICID UD; NOT FOUND; 500 MG COM LIB PROL CT BL AL PLAS INC X 10; ABT
1055302000261; KLARICID UD; KLARICID UD; NOT FOUND; 500 MG COM LIB PROL CT BL AL PLAS INC X 7; ABT
1055302420072; KALETRA; KALETRA; NOT FOUND; 80 MG + 20 MG/ML SOL OR CT  FR PLAS AMB  X 160 ML + COP. MED.; ABT
1055302420021; KALETRA; KALETRA; NOT FOUND; 133.3 MG + 33.3 MG  CAP GEL MOLE CT  FR PLAS OPC X  180; ABT
1055302420129; KALETRA; KALETRA; NOT FOUND; 100 MG + 25 MG COM REV CT FR PLAS OPC X 120; ABT
1055302420110; KALETRA; KALETRA; NOT FOUND; 100 MG + 25 MG COM REV CT FR PLAS OPC X 60; ABT
1055302420099; KALETRA; KALETRA; NOT FOUND; 200 MG + 50 MG COM REV CT FR PLAS OPC X 120 ; ABT
