78594; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 1000 MG x 100; PZ8
73478; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 1000 MG x 2; PZ8
74092; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 1000 MG x 200; PZ8
73480; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 1000 MG x 4; PZ8
80052; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 500 MG x 200; PZ8
73481; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 500 MG x 4; PZ8
73711; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 500 MG x 400; PZ8
73482; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 500 MG x 8; PZ8
69664; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; PZ8
69666; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 200; PZ8
70046; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 600; PZ8
89281; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 80; PZ8
77158; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 10 ML x 1 (/ML); PZ8
70047; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 10 ML x 200 (/ML); PZ8
69665; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 15 ML x 1 (/ML); PZ8
71778; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 15 ML x 200 (/ML); PZ8
62456; SIOCONAZOL ; SIOCONAZOL; NOT FOUND; CPR 200 MG x 10; PZ8
62457; SIOCONAZOL ; SIOCONAZOL; NOT FOUND; CPR 200 MG x 300; PZ8
76302; SIOCONAZOL ; SIOCONAZOL; NOT FOUND; CPR 200 MG x 500; PZ8
62458; SIOCONAZOL ; SIOCONAZOL; NOT FOUND; CREME 20 MG 30 G x 1 (/G); PZ8
63099; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAROPE 2 MG 100 ML x 50 (/5ML); PZ8
63098; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAROPE 2 MG 120 ML x 1 (/5ML); PZ8
71794; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAROPE 2 MG 120 ML x 50 (/5ML); PZ8
70562; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 10 G x 200; PZ8
67918; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 15 G x 1; PZ8
75099; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 15 G x 200; PZ8
67919; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 50 G x 1; PZ8
64954; SULF.TERBU+GUAI.MG ; SULF TERBU GUAI; NOT FOUND; XAR. 100 ML x 1; PZ8
72134; SULFADIAZ.PRATA MG ; SULFADIAZ PRATA; SULFADIAZINA PRATA; CR.VAG. 6APL 10 MG 30 G x 1 (/G; PZ8
71342; SULFADIAZ.PRATA MG ; SULFADIAZ PRATA; SULFADIAZINA PRATA; CREME 10 MG 120 G x 1 (/G); PZ8
63097; SULFADIAZ.PRATA MG ; SULFADIAZ PRATA; SULFADIAZINA PRATA; CREME 10 MG 30 G x 1 (/G); PZ8
63560; SULFADIAZ.PRATA MG ; SULFADIAZ PRATA; SULFADIAZINA PRATA; CREME 10 MG 400 G x 1 (/G); PZ8
63559; SULFADIAZ.PRATA MG ; SULFADIAZ PRATA; SULFADIAZINA PRATA; CREME 10 MG 50 G x 1 (/G); PZ8
89295; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; CPR 400 MG x 120 (/80); PZ8
76916; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; CPR 400 MG x 20 (/80); PZ8
76917; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; CPR 800 MG x 10 (/160); PZ8
89299; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; CPR 800 MG x 120 (/160); PZ8
150810; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; CPR 800 MG x 400 (/160); PZ8
64702; SULFATO TERBUTA.MG ; SULFATO TERBUTA; SULFATO TERBUTALINA; XAROPE 0.30 MG 100 ML x 1 (/ML); PZ8
