72691; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; PZ8
73176; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 600; PZ8
72692; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; PZ8
73177; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 600; PZ8
62337; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. AD 50 MG 100 ML x 1 (/ML); PZ8
62340; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. AD 50 MG 80 ML x 50 (/ML); PZ8
62339; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. PED. 20 MG 100 ML x 1 (/ML); PZ8
62338; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. PED. 20 MG 80 ML x 50 (/ML); PZ8
68800; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; CREME 30 G x 1; PZ8
68647; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 30 G x 1; PZ8
66305; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME DERMAT 30 G x 1; PZ8
66306; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; POM.DERMAT 30 G x 1; PZ8
74709; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; PZ8
74710; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 30; PZ8
74711; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 450; PZ8
89273; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 80; PZ8
64632; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 20 MG 30 G x 1 (/G); PZ8
67211; CETOCONAZOL SHA.MG ; CETOCONAZOL SHA; NOT FOUND; XAMP 20 MG 100 ML x 1 (/ML); PZ8
74713; CETOCONAZOL SHA.MG ; CETOCONAZOL SHA; NOT FOUND; XAMP 20 MG 100 ML x 50 (/ML); PZ8
71737; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; CREME 10 MG 20 G x 1 (/G); PZ8
64634; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; SOLN TOP. 10 MG 15 ML x 1 (/ML; PZ8
74323; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 200 MG x 20; PZ8
74501; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 200 MG x 40; PZ8
74608; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 200 MG x 600; PZ8
