76314; ERITROMICINA MG ; ERITROMICINA; ERITROMICINA; CPR 500 MG x 20; PZ8
112052; ERITROMICINA MG ; ERITROMICINA; ERITROMICINA; CPR 500 MG x 420; PZ8
112054; ERITROMICINA MG ; ERITROMICINA; ERITROMICINA; CPR 500 MG x 80; PZ8
78405; ERITROMICINA MG ; ERITROMICINA; ERITROMICINA; SUSP ORAL 50 MG 105 ML x 1 (/ML); PZ8
78404; ERITROMICINA MG ; ERITROMICINA; ERITROMICINA; SUSP ORAL 50 MG 80 ML x 1 (/ML); PZ8
76954; ESPAFIN ; ESPAFIN; NOT FOUND; CPR REVEST x 20; PZ8
76955; ESPAFIN ; ESPAFIN; NOT FOUND; CPR REVEST x 200; PZ8
76956; ESPAFIN ; ESPAFIN; NOT FOUND; CPR REVEST x 600; PZ8
62959; ESPECTROPRIMA ; ESPECTROPRIMA; NOT FOUND; CPR 400 MG x 300 (/80); PZ8
73288; ESPECTROPRIMA ; ESPECTROPRIMA; NOT FOUND; SUSP 400 MG 50 ML x 50 (/80); PZ8
62958; ESPECTROPRIMA ; ESPECTROPRIMA; NOT FOUND; SUSP 400 MG 60 ML x 1 (/80); PZ8
