520722901115412; TEUTOVIT E; TEUTOVIT E; NOT FOUND; 400 MG CAP GEL MOLE CT FR PLAS OPC X 30; TTB
520732001117416; TEUFRON; TEUFRON; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 30; TTB
520732003111415; TEUFRON; TEUFRON; NOT FOUND; 1.0 MG COM CT BL AL PLAS INC X 30; TTB
520732002113414; TEUFRON; TEUFRON; NOT FOUND; 2.0 MG COM CT BL AL PLAS INC X 30; TTB
520719701161410; TEUTOMICIN; TEUTOMICIN; NOT FOUND; 5MG/G + 250 UI POM DERM CT BG AL X 10G; TTB
520720001151416; TRIAXON; TRIAXON; NOT FOUND; 1 G IV PO INJ CT FA VD INC + DIL X 10 ML; TTB
520720003152411; TRIAXON; TRIAXON; NOT FOUND; 1 G IV PO INJ CT 50 FA VD INC (EMB HOSP); TTB
520720004159418; TRIAXON; TRIAXON; NOT FOUND; 1G IM PO INJ CT FA VD INC + DIL X 3.5 ML; TTB
520720006151414; TRIAXON; TRIAXON; NOT FOUND; 1G IM PO INJ CX 50 FA + DIL; TTB
520720007158412; TRIAXON; TRIAXON; NOT FOUND; 250 MG IM PO INJ CT FA + DIL; TTB
520720002156411; TRIAXON; TRIAXON; NOT FOUND; 500 MG IV PO INJ CT FA VD INC + DIL X 5 ML; TTB
520720005155416; TRIAXON; TRIAXON; NOT FOUND; 500 MG IV PO INJ CT 50 FA VD INC (EMB HOSP); TTB
520720008154410; TRIAXON; TRIAXON; NOT FOUND; 500 MG IM PO INJ CT  FA + DIL; TTB
520712030080904; TEUCIPROX; TEUCIPROX; NOT FOUND; 500 MG COM REV CT BL AL PVDC INC X 14; TTB
520712030081004; TEUCIPROX; TEUCIPROX; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 14; TTB
520713070088003; TEUCIPROX; TEUCIPROX; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 7; TTB
520719503112413; TEUTOFORMIN; TEUTOFORMIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 30; TTB
520719502116415; TEUTOFORMIN; TEUTOFORMIN; NOT FOUND; 850 MG COM CT  BL AL PAS INC X 150 (EMB HOSP)  ; TTB
520719501111411; TEUTOFORMIN; TEUTOFORMIN; NOT FOUND; 850 MG COM CT BL AL PLAS INC X 30 ; TTB
520719201116416; TETRACLIN; TETRACLIN; NOT FOUND; 250 MG CAP GEL DURA CT ENV AL POLIET X 100; TTB
520719202112414; TETRACLIN; TETRACLIN; NOT FOUND; 500 MG CAP GEL DURA CT ENV AL POLIET X 100; TTB
520723202113419; TRAMALIV; TRAMALIV; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS X 10; TTB
520723203152418; TRAMALIV; TRAMALIV; NOT FOUND; 50 MG/ML SOL INJ CT AMP VD AMB X 6; TTB
520723201151414; TRAMALIV; TRAMALIV; NOT FOUND; 100 MG/2ML SOL INJ CT AMP VD AMB X 6; TTB
520713050087704; TEUPANTOL; TEUPANTOL; NOT FOUND; 50 MG/G POM DERM CT BG AL REV EPOXI FENOLICO X 30G; TTB
520722801137414; TENOFTAL; TENOFTAL; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS OPC X 5 ML; TTB
520712070082406; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 40G + 7 APLIC ; TTB
520720104137424; TYLIDOL; TYLIDOL; NOT FOUND; 200 MG/ML SOL OR FR PLAS GOT X 15 ML; TTB
520720101111424; TYLIDOL; TYLIDOL; NOT FOUND; 500 MG COM CT 4 BL AL PLAS INC X 5; TTB
520713020087203; TYLIDOL; TYLIDOL; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 200 (EMB MULT); TTB
520720105117419; TYLIDOL; TYLIDOL; NOT FOUND; 750 MG COM CT BL AL PLAS LAR X 20; TTB
520712070082303; TYLIDOL; TYLIDOL; NOT FOUND; 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT); TTB
520719301161413; TETRADERM; TETRADERM; NOT FOUND; CREM DERM CT BG AL X 20 G; TTB
520733402115110; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 100 MG COM REV CT BL AL/AL X 60; TTB
520733902118410; TEMAX; TEMAX; NOT FOUND; 100 MG COM REV CT BL AL/AL X 60; TTB
520733401119112; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60; TTB
520733901111412; TEMAX; TEMAX; NOT FOUND; 25 MG COM REV CT BL AL/AL X 60; TTB
520733403111119; TOPIRAMATO; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL/AL X 60; TTB
520733903114419; TEMAX; TEMAX; NOT FOUND; 50 MG COM REV CT BL AL/AL X 60; TTB
