520730201119416; MATERSUPRE; MATERSUPRE; NOT FOUND; COM REV CT FR PLAS OPC X 30; TTB
520721201136117; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML; TTB
520721202132115; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; TTB
520715002135426; MUCOXOLAN; MUCOXOLAN; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; TTB
520715003131416; MUCOXOLAN; MUCOXOLAN; NOT FOUND; 3 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; TTB
520715001139428; MUCOXOLAN; MUCOXOLAN; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; TTB
520715004138414; MUCOXOLAN; MUCOXOLAN; NOT FOUND; 6 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; TTB
520714801166413; MICOSIL; MICOSIL; NOT FOUND; 11.25 MG/G CREM DERM CT BG AL X 20 G; TTB
520708802131112; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED 10 ML; TTB
520708804132116; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED   ; TTB
520708805139114; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED  (EMB HOSP) ; TTB
520708806161113; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10MG/G CREM DERM CT BG AL X 30G; TTB
520714002115117; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CX 10 ENV AL X 10 (EMB HOSP); TTB
520714001119119; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT 3 ENV AL X 10 ; TTB
520714005114111; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30; TTB
