145934, CEFALOTINA SODI.MG , CEFALOTINA SODI, CEFALOTINA SODICA, F.AMP PO 1 G x 100, BU_
58685, CEFARISTON , CEFARISTON, NOT FOUND, F.AMP S/DILU 1 G x 100, BU_
54970, CEFTAZIDON , CEFTAZIDON, NOT FOUND, F.AMP 1 G x 20, BU_
75230, CEFTAZIDON , CEFTAZIDON, NOT FOUND, F.AMP C/DILU 1 G 10 ML x 20, BU_
54971, CEFTON , CEFTON, NOT FOUND, F.AMP SOLV 1 G x 20, BU_
55107, CILINON , CILINON, NOT FOUND, F.AMP S/DILU 1000 MG x 100, BU_
55106, CILINON , CILINON, NOT FOUND, F.AMP S/DILU 500 MG x 100, BU_
49478, CILINON , CILINON, NOT FOUND, F.AMP SOLV 1 G x 100, BU_
48258, CILINON , CILINON, NOT FOUND, F.AMP SOLV 500 MG x 100, BU_
62396, CITARAX , CITARAX, NOT FOUND, F.AMP C/DILU 100 MG 5 ML x 10, BU_
62397, CITARAX , CITARAX, NOT FOUND, F.AMP C/DILU 500 MG 10 ML x 10, BU_
54973, CLAFORDIL , CLAFORDIL, NOT FOUND, F.AMP SOLV 1 G x 20, BU_
94128, CLO VANCOMICINA MG , CLO VANCOMICINA, CLORIDRATO VANCOMICINA, F.AMP PO 500 MG x 20, BU_
71876, CLOR. LIDOCAINA MG , CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, F.AMP 20 MG 20 ML x 12 (/ML), BU_
77852, CLOR. LIDOCAINA MG , CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, VIAL. 20 MG 20 ML x 1, BU_
46199, CLORETO DE SODIO , CLORETO SODIO, CLORETO SODIO 22 NA, A.IV 10 % 10 ML x 100, BU_
73778, CORTISTON , CORTISTON, NOT FOUND, F.AMP S/DILU 100 MG x 100, BU_
73776, CORTISTON , CORTISTON, NOT FOUND, F.AMP S/DILU 100 MG x 50, BU_
73779, CORTISTON , CORTISTON, NOT FOUND, F.AMP S/DILU 500 MG x 100, BU_
73777, CORTISTON , CORTISTON, NOT FOUND, F.AMP S/DILU 500 MG x 50, BU_
58386, CORTISTON , CORTISTON, NOT FOUND, F.AMP SOLV 100 MG 2 ML x 50, BU_
58387, CORTISTON , CORTISTON, NOT FOUND, F.AMP SOLV 500 MG 4 ML x 50, BU_
79072, C-PLATIN , C PLATIN, NOT FOUND, F.AMP 1 MG 50 ML x 1 (/ML), BU_
61259, C-PLATIN , C PLATIN, NOT FOUND, F.AMP 10 MG 20 ML x 1, BU_
61260, C-PLATIN , C PLATIN, NOT FOUND, F.AMP 50 MG 100 ML x 1, BU_
