53836, BENZATRON , BENZATRON, NOT FOUND, F.AMP 1200 K 5 ML x 100, BU_
53835, BENZATRON , BENZATRON, NOT FOUND, F.AMP 600 K 5 ML x 100, BU_
33993, BEPLEXARON INJETAV , BEPLEXARON INJETAV, NOT FOUND, AMP. 2 ML x 100, BU_
45409, BICARBONATO SODIO , BICARBONATO SODIO, BICARBONATO SODIO, A.IV 8.40 % 10 ML x 100, BU_
54811, BLAUBIMAX , BLAUBIMAX, NOT FOUND, SOLN C/EQ 20 % 50 ML x 1, BU_
61254, BLAUFERON A , BLAUFERON A, NOT FOUND, F.AMP LIOF 3 M 1 ML x 1, BU_
61258, BLAUFERON B , BLAUFERON B, NOT FOUND, F.AMP LIOF 10 M 1 ML x 1, BU_
61256, BLAUFERON B , BLAUFERON B, NOT FOUND, F.AMP LIOF 3 M 1 ML x 1, BU_
61257, BLAUFERON B , BLAUFERON B, NOT FOUND, F.AMP LIOF 5 M 1 ML x 1, BU_
77850, B-PLATIN , B PLATIN, NOT FOUND, F.AMP 10 MG 45 ML x 1, BU_
77851, B-PLATIN , B PLATIN, NOT FOUND, F.AMP 10 MG 5 ML x 1, BU_
61573, B-PLATIN , B PLATIN, NOT FOUND, F.AMP LIOF 150 MG 15 ML x 1, BU_
59351, BROMUC , BROMUC, NOT FOUND, AMP. 300 MG 3 ML x 100, BU_
59350, BROMUC , BROMUC, NOT FOUND, AMP. 300 MG 3 ML x 5, BU_
