503902901113415; METFORDIN; METFORDIN; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
503902902111416; METFORDIN; METFORDIN; NOT FOUND; 850 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
503902801119411; MEGAZOL; MEGAZOL; NOT FOUND; 100 MG COM CT BL AL PVC X 6; BFR
503902802131415; MEGAZOL; MEGAZOL; NOT FOUND; 100 MG/5 ML SUS OR CT FR VD AMB X 30 ML; BFR
503903001116416; METILBIO; METILBIO; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
503903002112414; METILBIO; METILBIO; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS INC X 10 ; BFR
503903101171419; METROTIX; METROTIX; NOT FOUND; 100 MG GEL BG AL X 50 G; BFR
503903102117418; METROTIX; METROTIX; NOT FOUND; 250 MG COM CT BL AL  PVC X 20; BFR
503903103131414; METROTIX; METROTIX; NOT FOUND; 40 MG/ML SUS OR INF CT FR VD AMB X 80 ML; BFR
503903104111417; METROTIX; METROTIX; NOT FOUND; 400 MG COM CT 2 BL AL  PVC X 10; BFR
503903105116412; METROTIX; METROTIX; NOT FOUND; 400 MG COM CT 2 BL AL  PVC X 12; BFR
503903202170418; MICOZOL; MICOZOL; NOT FOUND; 20 MG/G PO TOP CT FR PLAS OPC X 30 G; BFR
503903201174411; MICOZOL; MICOZOL; NOT FOUND; 20 MG/ML LOC CT FR VD AMB X 30 ML; BFR
503902701114418; MACROZOL; MACROZOL; NOT FOUND; 10 MG CAP GEL DURA CT FR PLAS OPC X 14; BFR
503902702110416; MACROZOL; MACROZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; BFR
503902703117414; MACROZOL; MACROZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; BFR
503902704113412; MACROZOL; MACROZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X  7; BFR
503902705111413; MACROZOL; MACROZOL; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; BFR
