65084; HYCIMET ; HYCIMET; NOT FOUND; AMP. 300 MG 2 ML x 100; HYP
77388; HYCLIN ; HYCLIN; NOT FOUND; AMP. 600 MG 4 ML x 50; HYP
65085; HYDREN ; HYDREN; NOT FOUND; AMP. 1 ML x 100; HYP
44196; HYFILINA ; HYFILINA; NOT FOUND; AMP. 240 MG 10 ML x 100; HYP
70547; HYLINC ; HYLINC; NOT FOUND; AMP. 600 MG 2 ML x 50; HYP
65089; HYNALGIN ; HYNALGIN; NOT FOUND; AMP. 50 % 2 ML x 100; HYP
65087; HYNALGIN ; HYNALGIN; NOT FOUND; AMP. 50 % 5 ML x 100; HYP
56137; HYPLEX B ; HYPLEX B; NOT FOUND; AMP. 2 ML x 100; HYP
67723; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP C/VAS 2 % 20 ML x 25; HYP
67722; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP S/VAS 1 % 20 ML x 25; HYP
67724; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP S/VAS 2 % 5 ML x 100; HYP
67824; HYPOCAINA HIPERB. ; HYPOCAINA HIPERB; NOT FOUND; AMP. 2 ML x 50; HYP
43897; HYPOCALCIO ; HYPOCALCIO; NOT FOUND; AMP. 10 % 10 ML x 100; HYP
65090; HYPOCINA ; HYPOCINA; NOT FOUND; AMP. 20 MG 1 ML x 100 (/ML); HYP
69883; HYPOCINA COMPOSTA ; HYPOCINA COMPOSTA; NOT FOUND; A.IV 5 ML x 50; HYP
73011; HYPOMAGNE ; HYPOMAGNE; NOT FOUND; AMP. 50 % 10 ML x 100; HYP
67238; HYPONOR ; HYPONOR; NOT FOUND; AMP.INFUSION 8 MG 4 ML x 10; HYP
67239; HYPONOR ; HYPONOR; NOT FOUND; AMP.INFUSION 8 MG 4 ML x 50; HYP
65092; HYPOSIL ; HYPOSIL; NOT FOUND; AMP. 10 MG 2 ML x 100; HYP
62598; HYPOVERIN ; HYPOVERIN; NOT FOUND; AMP. 2 ML x 10; HYP
73197; HYTAMICINA ; HYTAMICINA; NOT FOUND; AMP. 80 MG 2 ML x 100; HYP
65093; HYTROPIN ; HYTROPIN; NOT FOUND; AMP. 0.25 MG 1 ML x 100; HYP
65094; HYTROPIN ; HYTROPIN; NOT FOUND; AMP. 0.50 MG 1 ML x 100; HYP
65096; HYVIT ; HYVIT; NOT FOUND; AMP. 1 G 5 ML x 100; HYP
65095; HYVIT ; HYVIT; NOT FOUND; AMP. 500 MG 5 ML x 100; HYP
