511800302157416; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
511800303153414; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 191 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
511800304151415; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 191 MG/ML SOL INJ CX 100 AMP PLAS INC X 10 ML; HYP
511800407153410; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 100 MG/ML  SOL INJ CX  100 AMP VD INC X 10 ML; HYP
511800410154414; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 100 MG/ML SOL INJ CX 100 AMP PLAS INC X 10 ML; HYP
511800408151411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 200 MG/ML  SOL INJ CX  100 AMP VD INC X 10 ML; HYP
511800414151411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ CX 100 AMP PLAS INC X 20 ML; HYP
511800401155411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
511800412157410; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
511800403158418; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML; HYP
511803801154115; CLORIDRATO DE BUPIVACAÍNA + GLICOSE; CLORIDRATO BUPIVACAINA GLICOSE; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ CX 50 AMP VD INC X 4 ML (EMB HOSP); HYP
511803701151114; CLORIDRATO DE BUPIVACAÍNA; CLORIDRATO BUPIVACAINA; NOT FOUND; 5.0 MG/ML S/ VASOCONSTRITOR SOL INJ CX C/ 25 FR VD INC X 20 ML (EMB HOSP); HYP
511804701153115; CLORIDRATO DE CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML (EMB HOSP); HYP
511804702151116; CLORIDRATO DE CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; 5 MG/ML SOL INJ CX 25 AMP VD AMB X 5 ML (EMB HOSP); HYP
511804703156111; CLORIDRATO DE CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 5 ML (EMB HOSP); HYP
511804001151111; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 14.0 MG/ML SOL INJ CX 10 AMP VD AMB 20 ML (EMB HOSP); HYP
511804301155110; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); HYP
511804302151119; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 4 ML (EMB HOSP); HYP
511802501157110; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP); HYP
