511801902158411, HYPOCINA COMPOSTA, HYPOCINA COMPOSTA, NOT FOUND, 4 MG/ML + 500 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML (EMB HOSP), HYP
511801802153418, HYPOCAINA, HYPOCAINA, NOT FOUND, 10 MG/ML SOL INJ CX 100 FA VD INC X 20 ML, HYP
511801803151419, HYPOCAINA, HYPOCAINA, NOT FOUND, 2 PCC + 0.005 MG/ML SOL INJ CX 25 FA VD AMB X 20 ML, HYP
511801801157411, HYPOCAINA, HYPOCAINA, NOT FOUND, 20 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML, HYP
511802301158415, HYPOVERIN, HYPOVERIN, NOT FOUND, 50 MG/ML SOL INJ CT 10 AMP VD AMB X 2 ML, HYP
511801701152416, HYPLEX B, HYPLEX B, NOT FOUND, SOL INJ IM CX 100 AMP VD AMB X 2 ML, HYP
511801501153419, HYNALGIM, HYNALGIM, NOT FOUND, 500 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), HYP
511801502151411, HYNALGIM, HYNALGIM, NOT FOUND, 500 MG/ML SOL INJ CX 100 AMP VD AMB X 5 ML (EMB HOSP), HYP
511801201151410, HYCLIN, HYCLIN, NOT FOUND, 150MG/ML SOL INJ CT 50 AMP VD INC X 4 ML, HYP
511804601159111, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 5 AMP VD AMB X 1 ML (EMB HOSP) , HYP
511804602155111, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML (EMB HOSP), HYP
511804603151118, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HYP
511802101159418, HYPONOR, HYPONOR, NOT FOUND, 2 MG/ML SOL INJ CX 10 AMP VD AMB X 4 ML (REST HOSP), HYP
511802102155416, HYPONOR, HYPONOR, NOT FOUND, 2 MG/ML SOL INJ CX 50 AMP VD AMB X 4 ML (REST HOSP), HYP
511812030009606, HEMITARTARATO DE NOREPINEFRINA, HEMITARTARATO NOREPINEFRINA, HEMITARTARATO NOREPINEFRINA, 2 MG/ML SOL INJ IV CX 10 AMP VD AMB X 4 ML (EMB HOSP) , HYP
511812030009706, HEMITARTARATO DE NOREPINEFRINA, HEMITARTARATO NOREPINEFRINA, HEMITARTARATO NOREPINEFRINA, 2 MG/ML SOL INJ IV CX 50 AMP VD AMB X 4 ML (EMB HOSP), HYP
511803601155411, HYLINC, HYLINC, NOT FOUND, 600 MG SOL INJ CX 50 AMP VD INC X 2 ML, HYP
511804501154411, HYPOFARMA MANITOL 20%, HYPOFARMA MANITOL 20, NOT FOUND, 200 MG/ML SOL INJ IV CX 35 FR PE TRANS SIST FECH X 250 ML, HYP
511802701156411, HYTROPIN, HYTROPIN, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML, HYP
511802702152418, HYTROPIN, HYTROPIN, NOT FOUND, 0.50 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML, HYP
511803201157415, HYPOMAGNE, HYPOMAGNE, NOT FOUND, 500 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML, HYP
511802801150413, HYVIT C, HYVIT C, NOT FOUND, 100 MG/ML SOL INJ CX 100 AMP VD AMB X 5 ML, HYP
511802802157411, HYVIT C, HYVIT C, NOT FOUND, 200 MG/ML SOL INJ CX 100 AMP VD AMB X 5 ML, HYP
