530805602112412, PIROXIL, PIROXIL, NOT FOUND, 20 MG CAP CX CT 01 BL X 10, SNV
530805603119410, PIROXIL, PIROXIL, NOT FOUND, 20 MG CAP GEL DURA CX 50 BL AL PLAS AMB X 10, SNV
530805701110418, PRAZONIL, PRAZONIL, NOT FOUND, 10 MG CAP GEL DURA CT FR X 14, SNV
530805702117416, PRAZONIL, PRAZONIL, NOT FOUND, 20 MG CAP GEL DURA CT FR X 7, SNV
530805704111415, PRAZONIL, PRAZONIL, NOT FOUND, 20 MG CAP GEL DURA CX FR VD AMB X 700 (EMB HOSP), SNV
530805703113414, PRAZONIL, PRAZONIL, NOT FOUND, 20 MG CAP GEL DURA FR X 14, SNV
530805804114114, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP), SNV
530805801115111, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 10, SNV
530805802111118, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 20, SNV
530805805110112, PREDNISONA, PREDNISONA, PREDNISONA, 5 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP), SNV
530805803118116, PREDNISONA, PREDNISONA, PREDNISONA, 5 MG COM CT BL AL PLAS INC X 20, SNV
530805904119411, PREDVAL, PREDVAL, NOT FOUND, 20 MG COM CX 50 BL AL PLAS AMB X 10, SNV
530805901111418, PREDVAL, PREDVAL, NOT FOUND, 20 MG COMP CT 02 BL PLAS AMB X 10, SNV
530805903112411, PREDVAL, PREDVAL, NOT FOUND, 5 MG COM CX 50 BL AL PLAS AMB X 10, SNV
530805902116413, PREDVAL, PREDVAL, NOT FOUND, 5MG COMP CT 02 BL AL PLAS AMB X 10, SNV
530806101168413, PROMETAZOL, PROMETAZOL, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30 G, SNV
530806106161417, PROMETAZOL, PROMETAZOL, NOT FOUND, 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP), SNV
530806105112412, PROMETAZOL, PROMETAZOL, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 20, SNV
