73859, TEVABLEO , TEVABLEO, NOT FOUND, F.AMP LIOF 15 IU x 1, TEV
74492, TEVACARBO , TEVACARBO, NOT FOUND, F.AMP IV 150 MG 15 ML x 1, TEV
74493, TEVACARBO , TEVACARBO, NOT FOUND, F.AMP IV 450 MG 45 ML x 1, TEV
74494, TEVACARBO , TEVACARBO, NOT FOUND, F.AMP IV 50 MG 5 ML x 1, TEV
74023, TEVAETOPO , TEVAETOPO, NOT FOUND, F.AMP 100 MG 5 ML x 10, TEV
75219, TEVAFOLIN , TEVAFOLIN, NOT FOUND, F.AMP 300 MG 30 ML x 1, TEV
75220, TEVAFOLIN , TEVAFOLIN, NOT FOUND, F.AMP 50 MG 5 ML x 1, TEV
131353, TEVAGRASTIM , TEVAGRASTIM, NOT FOUND, SER PREENCH 300 Y 0.50 ML x 1, TEV
90232, TEVAGRASTIM , TEVAGRASTIM, NOT FOUND, SER PREENCH 300 Y 0.50 ML x 5, TEV
74017, TEVAMETHO , TEVAMETHO, NOT FOUND, F.AMP 100 MG 10 ML x 1 (/ML), TEV
74019, TEVAMETHO , TEVAMETHO, NOT FOUND, F.AMP 25 MG 2 ML x 1 (/ML), TEV
74020, TEVAMETHO , TEVAMETHO, NOT FOUND, F.AMP 25 MG 20 ML x 1 (/ML), TEV
74022, TEVAPACLI , TEVAPACLI, NOT FOUND, F.AMP 30 MG 5 ML x 1, TEV
77646, TRISENOX , TRISENOX, NOT FOUND, AMP. 1 MG 10 ML x 10 (/ML), TEV
