530808401169111; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G; SNV
530800401119117; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPGEL DURA CT BL AL PLAS INC X 15; SNV
530800402115115; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPGEL DURA CT BL AL PLAS INC X 21; SNV
530800403111113; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPGEL DURA CX BL AL PLAS INC X 500 (EMB HOSP); SNV
530800701112411; ANGIL; ANGIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; SNV
530800703115416; ANGIL; ANGIL; NOT FOUND; 10 MG COM CX BL AL PLAS INC X 500; SNV
530800702119418; ANGIL; ANGIL; NOT FOUND; 5MG COM SUB LINGUAL CT BL AL PLAS INC X 20; SNV
530800704111414; ANGIL; ANGIL; NOT FOUND; 5 MG COM SUB LINGUAL CX 50 BL AL PLAS INC X 10; SNV
530800301114415; ALUDROXIL; ALUDROXIL; NOT FOUND; 300 MG COM MAST CT 3 BL AL PLAS AMB X 8; SNV
530800303133417; ALUDROXIL; ALUDROXIL; NOT FOUND; 62 MG/ML SUS OR CT FR VD AMB X 100 ML; SNV
530800304131418; ALUDROXIL; ALUDROXIL; NOT FOUND; 62 MG/ML SUSP ORAL CX 50 FR VD AMB X 100 ML (EMB HOSP); SNV
530800302137419; ALUDROXIL; ALUDROXIL; NOT FOUND; 62 MG/ML SUS OR CT FR VD AMB X 200 ML; SNV
530800202116411; ALERGYO; ALERGYO; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20 ; SNV
530800203112418; ALERGYO; ALERGYO; NOT FOUND; 2 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); SNV
