80839, DAXAS , DAXAS, NOT FOUND, CPR REVEST 500 Y x 30, TAK
154163, DEVERA , DEVERA, NOT FOUND, GOTAS MARACU 10 ML x 1, TAK
154162, DEVERA , DEVERA, NOT FOUND, GOTAS MARACU 20 ML x 1, TAK
154165, DEVERA , DEVERA, NOT FOUND, GOTAS MEL 10 ML x 1, TAK
154164, DEVERA , DEVERA, NOT FOUND, GOTAS MEL 20 ML x 1, TAK
78182, DRAMIN , DRAMIN, NOT FOUND, CPR 100 MG x 20, TAK
28219, DRAMIN , DRAMIN, NOT FOUND, CPR ENVELOPE 100 MG x 400, TAK
58548, DRAMIN , DRAMIN, NOT FOUND, SOLN ORAL 12.5 MG 120 ML x 1 (/5ML), TAK
62485, DRAMIN B6 , DRAMIN B6, NOT FOUND, A.IM 1 ML x 10, TAK
30077, DRAMIN B6 , DRAMIN B6, NOT FOUND, A.IM 1 ML x 100, TAK
3608, DRAMIN B6 , DRAMIN B6, NOT FOUND, A.IM 1 ML x 6, TAK
30165, DRAMIN B6 , DRAMIN B6, NOT FOUND, A.IV DL 30 MG 10 ML x 100, TAK
3609, DRAMIN B6 , DRAMIN B6, NOT FOUND, CPR REVEST x 20, TAK
76472, DRAMIN B6 , DRAMIN B6, NOT FOUND, CPR REVEST x 30, TAK
3610, DRAMIN B6 , DRAMIN B6, NOT FOUND, GOTAS 20 ML x 1 (INF), TAK
78183, DRAMIN B6 , DRAMIN B6, NOT FOUND, GOTAS 30 ML x 1, TAK
83463, DRAMIN CAPSGEL , DRAMIN CAPSGEL, NOT FOUND, CAPS 25 MG x 10, TAK
89958, DRAMIN CAPSGEL , DRAMIN CAPSGEL, NOT FOUND, CAPS 50 MG x 10, TAK
89960, DRAMIN CAPSGEL , DRAMIN CAPSGEL, NOT FOUND, CAPS 50 MG x 100, TAK
89956, DRAMIN CAPSGEL , DRAMIN CAPSGEL, NOT FOUND, CAPS 50 MG x 4, TAK
