60920; MESACOL ; MESACOL; NOT FOUND; CPR 400 MG x 30; TAK
60921; MESACOL ; MESACOL; NOT FOUND; CPR 800 MG x 30; TAK
60922; MESACOL ; MESACOL; NOT FOUND; SUP. 250 MG x 10; TAK
60923; MESACOL ; MESACOL; NOT FOUND; SUP. 500 MG x 10; TAK
96551; MESACOL MMX ; MESACOL MMX; NOT FOUND; CPR REVEST 1200 MG x 10; TAK
81164; MESACOL MMX ; MESACOL MMX; NOT FOUND; CPR REVEST 1200 MG x 30; TAK
31452; MUCOLITIC ; MUCOLITIC; NOT FOUND; GOTAS 20 ML x 1; TAK
58131; MUCOLITIC ; MUCOLITIC; NOT FOUND; GRAN ENVELO. 100 MG 4 G x 15; TAK
58132; MUCOLITIC ; MUCOLITIC; NOT FOUND; GRAN ENVELO. 250 MG 4 G x 15; TAK
7004; MUCOLITIC ; MUCOLITIC; NOT FOUND; XAR. AD 250 MG 100 ML x 1 (/5ML); TAK
7002; MUCOLITIC ; MUCOLITIC; NOT FOUND; XAR. INF 100 MG 100 ML x 1 (/5ML); TAK
