165397, ADCETRIS , ADCETRIS, NOT FOUND, PO LIOF INFU 50 MG x 1, TAK
189, AD-TIL , AD TIL, NOT FOUND, GOTAS 10 ML x 1, TAK
93584, AD-TIL , AD TIL, NOT FOUND, GOTAS 20 ML x 1, TAK
32311, AGIOLAX , AGIOLAX, NOT FOUND, GRAN 100 G x 1, TAK
32312, AGIOLAX , AGIOLAX, NOT FOUND, GRAN 250 G x 1, TAK
49848, AGIOLAX , AGIOLAX, NOT FOUND, GRAN ENVELO. 5 G x 20, TAK
295, ALBOCRESIL , ALBOCRESIL, NOT FOUND, GEL. 5 % 50 G x 1, TAK
296, ALBOCRESIL , ALBOCRESIL, NOT FOUND, LIQD 36 % 12 ML x 1 (CONC), TAK
297, ALBOCRESIL , ALBOCRESIL, NOT FOUND, OVULOS 250 MG x 6, TAK
86220, ALEKTOS , ALEKTOS, NOT FOUND, CPR 20 MG x 10, TAK
86221, ALEKTOS , ALEKTOS, NOT FOUND, CPR 20 MG x 30, TAK
67520, ALVESCO , ALVESCO, NOT FOUND, SPRAY 160 Y x 120 (/DOS), TAK
67519, ALVESCO , ALVESCO, NOT FOUND, SPRAY 160 Y x 60 (/DOS), TAK
69592, ALVESCO , ALVESCO, NOT FOUND, SPRAY 80 Y x 120 (/DOS), TAK
67521, ALVESCO , ALVESCO, NOT FOUND, SPRAY 80 Y x 60 (/DOS), TAK
