77769, TACHOSIL , TACHOSIL, NOT FOUND, ESPJ ESTERI x 1, TAK
98204, TEBONIN , TEBONIN, NOT FOUND, CPR REVEST 120 MG x 10, TAK
56074, TEBONIN , TEBONIN, NOT FOUND, CPR REVEST 120 MG x 20, TAK
83396, TEBONIN , TEBONIN, NOT FOUND, CPR REVEST 120 MG x 30, TAK
45758, TEBONIN , TEBONIN, NOT FOUND, CPR REVEST 40 MG x 30, TAK
98205, TEBONIN , TEBONIN, NOT FOUND, CPR REVEST 80 MG x 10, TAK
48424, TEBONIN , TEBONIN, NOT FOUND, CPR REVEST 80 MG x 20, TAK
83397, TEBONIN , TEBONIN, NOT FOUND, CPR REVEST 80 MG x 30, TAK
60059, TEBONIN , TEBONIN, NOT FOUND, SOLN ORAL 40 MG 60 ML x 1 (/ML), TAK
83465, TECTA , TECTA, NOT FOUND, CPR GASTROR 40 MG x 30, TAK
83464, TECTA , TECTA, NOT FOUND, CPR GASTROR 40 MG x 60, TAK
