53533; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 20 MG x 14; TAK
97200; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 20 MG x 2; TAK
53534; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 20 MG x 28; TAK
69268; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 20 MG x 42; TAK
77488; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 20 MG x 56; TAK
53532; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 20 MG x 7; TAK
50774; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 40 MG x 14; TAK
52550; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 40 MG x 28; TAK
69269; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 40 MG x 42; TAK
77489; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 40 MG x 56; TAK
50773; PANTOZOL ; PANTOZOL; NOT FOUND; CPR GASTROR 40 MG x 7; TAK
55555; PANTOZOL ; PANTOZOL; NOT FOUND; F.AMP EV 40 MG 10 ML x 1; TAK
78198; PANTOZOL ; PANTOZOL; NOT FOUND; SACHET GRAN 40 MG x 2; TAK
78199; PANTOZOL ; PANTOZOL; NOT FOUND; SACHET GRAN 40 MG x 28; TAK
70490; PIZ BUIN ; PIZ BUIN; NOT FOUND; LOC.A/S/T/I 200 ML x 1; TAK
70883; PIZ BUIN ; PIZ BUIN; NOT FOUND; LOC.G/S/T FM 40 ML x 1; TAK
70495; PIZ BUIN ; PIZ BUIN; NOT FOUND; S.OI F.FPS30 200 ML x 1; TAK
57787; PLANTABEN ; PLANTABEN; NOT FOUND; PO EFER SOB. 3.50 G 5 G x 10; TAK
57788; PLANTABEN ; PLANTABEN; NOT FOUND; PO EFER SOB. 3.50 G 5 G x 30; TAK
130533; PROCTODERM ; PROCTODERM; NOT FOUND; SAB LIQ 100 ML x 1; TAK
99023; PROCTYL ; PROCTYL; NOT FOUND; POM 5APLIC 3 G x 5; TAK
51610; PROCTYL ; PROCTYL; NOT FOUND; POM. 30 G x 1; TAK
60600; PROCTYL ; PROCTYL; NOT FOUND; POM.MONODOS 3 G x 10; TAK
55781; PROCTYL ; PROCTYL; NOT FOUND; SUP. x 10; TAK
75315; PROCTYL ; PROCTYL; NOT FOUND; SUP. x 15; TAK
