69219, BETACARD PLUS , BETACARD PLUS, NOT FOUND, CPR 12.5 MG x 30 (/50), TNT
69220, BETACARD PLUS , BETACARD PLUS, NOT FOUND, CPR 25 MG x 30 (/100), TNT
75777, BRANTA , BRANTA, NOT FOUND, CPR REVEST 50 MG x 30 (/5), TNT
89046, BRATOR , BRATOR, NOT FOUND, CPR REVEST 160 MG x 30, TNT
89048, BRATOR , BRATOR, NOT FOUND, CPR REVEST 320 MG x 30, TNT
89044, BRATOR , BRATOR, NOT FOUND, CPR REVEST 80 MG x 30, TNT
89058, BRATOR H , BRATOR H, NOT FOUND, CPR REVEST 160 MG x 30 (/12.), TNT
89059, BRATOR H , BRATOR H, NOT FOUND, CPR REVEST 160 MG x 30 (/25), TNT
89061, BRATOR H , BRATOR H, NOT FOUND, CPR REVEST 320 MG x 30 (/12.), TNT
89056, BRATOR H , BRATOR H, NOT FOUND, CPR REVEST 320 MG x 30 (/25), TNT
89051, BRATOR H , BRATOR H, NOT FOUND, CPR REVEST 80 MG x 10 (/12.), TNT
89055, BRATOR H , BRATOR H, NOT FOUND, CPR REVEST 80 MG x 30 (/12.), TNT
