77118; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 100 MG x 10; TNT
77117; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 100 MG x 30; TNT
60644; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 25 MG x 28; TNT
60645; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 50 MG x 14; TNT
60646; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 50 MG x 28; TNT
120490; TORLOS ; TORLOS; NOT FOUND; CPR REVEST 50 MG x 30; TNT
60647; TORLOS-H ; TORLOS H; NOT FOUND; CPR REVEST 12.5 MG x 14 (/50); TNT
60648; TORLOS-H ; TORLOS H; NOT FOUND; CPR REVEST 12.5 MG x 28 (/50); TNT
120491; TORLOS-H ; TORLOS H; NOT FOUND; CPR REVEST 12.5 MG x 30 (/50); TNT
65264; TORVAL CR ; TORVAL CR; NOT FOUND; CPR L.A.COAT 300 MG x 30; TNT
65265; TORVAL CR ; TORVAL CR; NOT FOUND; CPR L.A.COAT 500 MG x 30; TNT
