108310; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REVEST 160 MG x 30 (/12.); TNT
108311; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REVEST 160 MG x 30 (/25); TNT
108312; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REVEST 320 MG x 30 (/12.); TNT
108313; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REVEST 320 MG x 30 (/25); TNT
108314; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REVEST 80 MG x 30 (/12.); TNT
63030; VENLIFT OD ; VENLIFT OD; NOT FOUND; CAPS L.P. 150 MG x 14; TNT
127859; VENLIFT OD ; VENLIFT OD; NOT FOUND; CAPS L.P. 150 MG x 30; TNT
77119; VENLIFT OD ; VENLIFT OD; NOT FOUND; CAPS L.P. 37.5 MG x 14; TNT
127863; VENLIFT OD ; VENLIFT OD; NOT FOUND; CAPS L.P. 37.5 MG x 30; TNT
63029; VENLIFT OD ; VENLIFT OD; NOT FOUND; CAPS L.P. 75 MG x 14; TNT
127861; VENLIFT OD ; VENLIFT OD; NOT FOUND; CAPS L.P. 75 MG x 30; TNT
