520100804159411, SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO, SOLUCAO FISIOLOGICA RINGER LACTATO SODIO, NOT FOUND, SOL INJ IV CX 12 BOLS PLAS SIST FECH X 1000 ML , SAO
520100805155418, SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO, SOLUCAO FISIOLOGICA RINGER LACTATO SODIO, NOT FOUND, SOL INJ CX 12 FR PLAS TRANS SIST FECH X 1000 ML, SAO
520100803152411, SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO, SOLUCAO FISIOLOGICA RINGER LACTATO SODIO, NOT FOUND, SOL INJ IV CX 20 BOLS PLAS SIST FECH X 500 ML , SAO
520100806151416, SOLUCAO FISIOLÓGICA DE RINGER COM LACTATO DE SÓDIO, SOLUCAO FISIOLOGICA RINGER LACTATO SODIO, NOT FOUND, SOL INJ CX 20 FR PLAS TRANS SIST FECH X 500 ML, SAO
520100901154419, SOLUÇÃO FISIOLÓGICA A 0,9%, SOLUCAO FISIOLOGICA A 0 9, NOT FOUND, 9 G/L SOL INJ IV CX 80 BOLS PLAS SIST FECH X 100 ML , SAO
520100904153413, SOLUÇÃO FISIOLÓGICA A 0,9%, SOLUCAO FISIOLOGICA A 0 9, NOT FOUND, 9 G/L SOL INJ IV CX 12 BOLS PLAS SIST FECH X 1000 ML , SAO
520101103154411, SOLUÇÃO FISIOLÓGICA A 0,9%, SOLUCAO FISIOLOGICA A 0 9, NOT FOUND, 9 G/L SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, SAO
520101104150418, SOLUÇÃO FISIOLÓGICA A 0,9%, SOLUCAO FISIOLOGICA A 0 9, NOT FOUND, 9 G/L SOL INJ IV CX 80 FR PLAS TRANS SIST FECH X 125 ML, SAO
520100902150417, SOLUÇÃO FISIOLÓGICA A 0,9%, SOLUCAO FISIOLOGICA A 0 9, NOT FOUND, 9 G/L SOL INJ IV CX 40 BOLS PLAS SIST FECH X 250 ML , SAO
520101101151413, SOLUÇÃO FISIOLÓGICA A 0,9%, SOLUCAO FISIOLOGICA A 0 9, NOT FOUND, 9 G/L SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, SAO
520100903157415, SOLUÇÃO FISIOLÓGICA A 0,9%, SOLUCAO FISIOLOGICA A 0 9, NOT FOUND, 9 G/L SOL INJ IV CX 20 BOLS PLAS SIST FECH X 500 ML , SAO
520101102158411, SOLUÇÃO FISIOLÓGICA A 0,9%, SOLUCAO FISIOLOGICA A 0 9, NOT FOUND, 9 G/L SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, SAO
520100406153411, SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL, SOLUCAO GLICOFISIOLOGICA SANOBIOL, NOT FOUND, (0.9G + 5G)/100ML SOL INJ IV CX 12 BOLS TRILAMINADA PP TRANS SIST FECH X 1000ML, SAO
520100407151412, SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL, SOLUCAO GLICOFISIOLOGICA SANOBIOL, NOT FOUND, (0.9G + 5G)/100ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000ML, SAO
520100404150415, SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL, SOLUCAO GLICOFISIOLOGICA SANOBIOL, NOT FOUND, (0.9G + 5G)/100ML SOL INJ IV CX 40 BOLS TRILAMINADA PP TRANS SIST FECH X 250ML, SAO
520100409152416, SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL, SOLUCAO GLICOFISIOLOGICA SANOBIOL, NOT FOUND, (0.9G + 5G)/100ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250ML, SAO
520100405157413, SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL, SOLUCAO GLICOFISIOLOGICA SANOBIOL, NOT FOUND, (0.9G + 5G)/100ML SOL INJ IV CX 20 BOLS TRILAMINADA PP TRANS SIST FECH X 500ML, SAO
520100408156418, SOLUÇÃO GLICOFISIOLÓGICA SANOBIOL, SOLUCAO GLICOFISIOLOGICA SANOBIOL, NOT FOUND, (0.9G + 5G)/100ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500ML, SAO
520100509157411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 100 MG/ML SOL INJ IV CX 12 BOLS PLAS SIST FECH X 1000 ML, SAO
520100515157418, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 100 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, SAO
520100511151415, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 100 MG/ML SOL INJ IV CX 40 BOLS PLAS SIST FECH X 250 ML, SAO
520100517151417, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 100 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, SAO
520100510155417, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 100 MG/ML SOL INJ IV CX 20 BOLS PLAS SIST FECH X 500 ML, SAO
520100516153416, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 100 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, SAO
520100521157416, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 80 FR PLAS TRANS SIST FECH X 100ML, SAO
520100512158413, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV 12 BOLS PLAS SIST FECH X 1000 ML, SAO
520100518156412, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, SAO
520100508150411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV 80 BOLS PLAS SIST FECH X 125 ML, SAO
520100522153414, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 80 FR PLAS TRANS SIST FECH X 125 ML, SAO
520100514150411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV 40 BOLS PLAS SIST FECH X 250 ML, SAO
520100520150418, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, SAO
520100513154411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV 20 BOLS PLAS SIST FECH X 500 ML, SAO
520100519152410, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, SAO
520100602157416, SOLUCAO DE MANITOL 20%, SOLUCAO MANITOL 20, NOT FOUND, 200 MG/ML SOL INJ IV CX 40 BOLS PLAS INC SIST FECH X 250 ML, SAO
520101201156417, SOLUÇÃO DE MANITOL 20%, SOLUCAO MANITOL 20, NOT FOUND, 200 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, SAO
