1092201640012; QUADERMIN; QUADERMIN; NOT FOUND; 0.50 MG + 1.00 MG + 10 MG + 10 MG CR DERM CT BG AL X 20 G; NO_ACR
1171700460013; QUADRINAX; QUADRINAX; NOT FOUND; 0.50 MG + 1.00MG + 10.00MG + 10.00MG CREM DERM CT BG AL X 20 G; NO_ACR
1171700460021; QUADRINAX; QUADRINAX; NOT FOUND; 0.50MG + 1.00MG + 10.00MG + 10.00MG POM DERM CT BG AL X 20 G; NO_ACR
1010702920153; QUEOPINE; QUEOPINE; NOT FOUND; 200 MG COM REV CT BL AL PLAS BR X 14; NO_ACR
1010702920161; QUEOPINE; QUEOPINE; NOT FOUND; 200 MG COM REV CT BL AL PLAS BR X 20; NO_ACR
1010702920171; QUEOPINE; QUEOPINE; NOT FOUND; 200 MG COM REV CT BL AL PLAS BR X 28; NO_ACR
1010702920188; QUEOPINE; QUEOPINE; NOT FOUND; 200 MG COM REV CT BL AL PLAS BR X 30; NO_ACR
1010702920048; QUEOPINE; QUEOPINE; NOT FOUND; 25 MG COM REV CT BL AL PLAS BR X 20; NO_ACR
1010702920013; QUEOPINE; QUEOPINE; NOT FOUND; 25 MG COM REV CT BL AL PLAS BR X 7 ; NO_ACR
1010702920021; QUEOPINE; QUEOPINE; NOT FOUND; 25 MG COM REV CT BL AL PLAS BR X 10; NO_ACR
1010702920031; QUEOPINE; QUEOPINE; NOT FOUND; 25 MG COM REV CT BL AL PLAS BR X 14; NO_ACR
1010702920056; QUEOPINE; QUEOPINE; NOT FOUND; 25 MG COM REV CT BL AL PLAS BR X 28; NO_ACR
1010702920110; QUEOPINE; QUEOPINE; NOT FOUND; 100 MG COM REV CT BL AL PLAS BR X 28; NO_ACR
1010702920072; QUEOPINE; QUEOPINE; NOT FOUND; 100 MG COM REV CT BL AL PLAS BR X 7 ; NO_ACR
1010702920129; QUEOPINE; QUEOPINE; NOT FOUND; 100 MG COM REV CT BL AL PLAS BR X 30; NO_ACR
1010702920064; QUEOPINE; QUEOPINE; NOT FOUND; 25 MG COM REV CT BL AL PLAS BR X 30; NO_ACR
1010702920099; QUEOPINE; QUEOPINE; NOT FOUND; 100 MG COM REV CT BL AL PLAS BR X 14; NO_ACR
1010702920080; QUEOPINE; QUEOPINE; NOT FOUND; 100 MG COM REV CT BL AL PLAS BR  X 10; NO_ACR
1010702920102; QUEOPINE; QUEOPINE; NOT FOUND; 100 MG COM REV CT BL AL PLAS BR X 20; NO_ACR
1010702920137; QUEOPINE; QUEOPINE; NOT FOUND; 200 MG COM REV CT BL AL PLAS BR X 7 ; NO_ACR
1010702920145; QUEOPINE; QUEOPINE; NOT FOUND; 200 MG COM REV CT BL AL PLAS BR X 10; NO_ACR
1007700160024; QUEBRA-PEDRA; QUEBRA PEDRA; NOT FOUND; ELIXIR 200 ML; NO_ACR
