1055001100036; EXAVIR; EXAVIR; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
1055001100011; EXAVIR; EXAVIR; NOT FOUND; 200 MG COM CT 5 BL AL PLAS INC X 5; NO_ACR
1055001100028; EXAVIR; EXAVIR; NOT FOUND; 400MG COM BL. C/70; NO_ACR
1211001200074; EPOCLER; EPOCLER; NOT FOUND; CAIXA CONTENDO 12 FLACONETES COM 10 ML CADA (ABACAXI); NO_ACR
1211001200082; EPOCLER; EPOCLER; NOT FOUND; CAIXA CONTENDO 60 FLACONETES COM 10 ML CADA (ABACAXI); NO_ACR
1017101890028; ELONVA; ELONVA; NOT FOUND; 150 MCG SOL INJ CT 1 SER PREENC VD INC X 0.5 ML; NO_ACR
1017101890011; ELONVA; ELONVA; NOT FOUND; 100 MCG SOL INJ CT 1 SER PREENC VD INC X 0.5 ML; NO_ACR
1123633370021; EPREX; EPREX; NOT FOUND; 1000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML; NO_ACR
1123633370062; EPREX; EPREX; NOT FOUND; 10000 UI SOL INJ CT 6 SER PREENCHIDA X 1.0 ML; NO_ACR
1123633370097; EPREX; EPREX; NOT FOUND; 2.000 U.I. - INJ - FR.AMP. - 6 FR.AMP 1 ML; NO_ACR
1123633370038; EPREX; EPREX; NOT FOUND; 2000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML; NO_ACR
1123633370046; EPREX; EPREX; NOT FOUND; 3000 UI SOL INJ CT 6 SER PREENCHIDA X 0.3 ML; NO_ACR
1123633370054; EPREX; EPREX; NOT FOUND; 4000 UI SOL INJ CT 6 SER PREENCHIDA X 0.4 ML; NO_ACR
1123633370161; EPREX; EPREX; NOT FOUND; 40000 UI  SOL INJ CT SER PREENCHIDA X 1.0 ML; NO_ACR
1123633370306; EPREX; EPREX; NOT FOUND; 1000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO; NO_ACR
1123633370314; EPREX; EPREX; NOT FOUND; 2000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO; NO_ACR
1123633370208; EPREX; EPREX; NOT FOUND; 3000 UI SOL INJ CT 6 SER PREENCHIDA X 0.3 ML + 1 DISPOSITIVO; NO_ACR
1123633370216; EPREX; EPREX; NOT FOUND; 4000 UI SOL INJ CT 6 SER PREENCHIDA X 0.4 ML + 1 DISPOSITIVO; NO_ACR
1123633370275; EPREX; EPREX; NOT FOUND; 10000 UI SOL INJ CT 6 SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO; NO_ACR
1123633370283; EPREX; EPREX; NOT FOUND; 40000 UI  SOL INJ CT SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO; NO_ACR
1661400100016; ETHYOL; ETHYOL; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC X 10 ML; NO_ACR
1661400100024; ETHYOL; ETHYOL; NOT FOUND; 500 MG PO LIOF INJ CT 3 FA VD INC X 10 ML; NO_ACR
1002901130038; EMEND; EMEND; NOT FOUND; 80MG CAP GEL DURA CT BL AL AL X 2 + 125 MG CAP GEL DURA CT BL AL AL X 1; NO_ACR
1106501690013; ELSPAR; ELSPAR; NOT FOUND; 10000 UI PO LIOF.CT.C/FA; NO_ACR
1092201950021; ESTAFAN; ESTAFAN; NOT FOUND; (1 + 1) G COM EFEV CT TB PLAS OPC X 10; NO_ACR
1092201950011; ESTAFAN; ESTAFAN; NOT FOUND; COM EFV TB C/ 16; NO_ACR
1017100140011; ESTANDRON-P; ESTANDRON P; NOT FOUND; SOL INJ CT 1 AMP X 1ML (PORT 344/98 - C5); NO_ACR
1026400270012; EUCALIPTUS GOMENOL; EUCALIPTUS GOMENOL; NOT FOUND; XPE FR AMBAR 100 ML; NO_ACR
1781700790035; EPOCLER; EPOCLER; NOT FOUND; (100 + 50 + 10)MG/ML SOL ORAL 12 FLAC PLAS INC X 10 ML &NBSP;01; NO_ACR
1781700790043; EPOCLER; EPOCLER; NOT FOUND; (100 + 50 + 10)MG/ML SOL ORAL 60 FLAC PLAS INC X 10 ML ; NO_ACR
1781700790027; EPOCLER; EPOCLER; NOT FOUND; (100 + 50 + 10)MG/ML SOL ORAL 6 FLAC PLAS INC X 10 ML ; NO_ACR
1228303730038; EPOCLER; EPOCLER; NOT FOUND; (100 MG + 50.0 MG + 10 MG) ML SOL OR CT 12 FLAC PLAS INC X 10 ML; NO_ACR
1228303730046; EPOCLER; EPOCLER; NOT FOUND; (100 MG + 50.0 MG + 10 MG) ML SOL OR CT 60 FLAC PLAS INC X 10 ML; NO_ACR
1068900140029; ENTEROFIGON; ENTEROFIGON; NOT FOUND; FLACONETES 0.002G SOL ORAL CX 12 X 10ML; NO_ACR
