1126000750013; XIGRIS; XIGRIS; NOT FOUND; 5 MG PO LIOF INJ CT FA VD INC X 5ML; NO_ACR
1126000750021; XIGRIS; XIGRIS; NOT FOUND; 20 MG PO LIOF INJ CT FA VD INC X 20 ML; NO_ACR
1043400210014; XIP PROFARB; XIP PROFARB; NOT FOUND; FR C/ 150 ML; NO_ACR
1214200040020; XAROPE 44E; XAROPE 44E; NOT FOUND; 1.30 MG/ML + 13.30 MG/ML XPE  FR PLAS TRANS X 120 ML; NO_ACR
1214200040047; XAROPE 44E; XAROPE 44E; NOT FOUND; 1.30 MG/ML + 13.30 MG/ML  XPE  FR PLAS TRANS X 120 ML(CAMOMILA); NO_ACR
1490100130018; XYLOCAINA 2% COM EPINEFRINA; XYLOCAINA 2 EPINEFRINA; NOT FOUND; 20.0 MG/ML + 0.01 MG/ML SOL INJ CX 50 TB PLAS X 1.8 ML; NO_ACR
1214300040022; XAROPE VICK; XAROPE VICK; NOT FOUND; 200 MG/15ML. XPE EXPEC. FR. 120ML.; NO_ACR
1214300040065; XAROPE VICK; XAROPE VICK; NOT FOUND; 200 MG/12.5 ML. XPE EXPEC. FR. 240ML. MEL; NO_ACR
1214300040054; XAROPE VICK; XAROPE VICK; NOT FOUND; 200 MG/12.5 ML. XPE EXPEC. FR. 120ML. MEL; NO_ACR
1214300040111; XAROPE VICK; XAROPE VICK; NOT FOUND; 16 MG/ML XPE FR PLAS TRANS X 100 ML (MEL E LIMAO); NO_ACR
1214300040121; XAROPE VICK; XAROPE VICK; NOT FOUND; 16 MG/ML XPE FR PLAS TRANS X 120 ML (MEL E LIMAO); NO_ACR
1214300040138; XAROPE VICK; XAROPE VICK; NOT FOUND; 16 MG/ML XPE FR PLAS TRANS X 240 ML (MEL E LIMAO); NO_ACR
SI/NC; XPE. IODETO DE POTÁSSIO; XPE IODETO POTASSIO; NOT FOUND; XPE CT FR VD X 180 ML; NO_ACR
ISENTO; XAROPE DE IODETO DE POTÁSSIO; XAROPE IODETO POTASSIO; NOT FOUND; 20 MG/ML XPE FR PET AMB X 100 ML; NO_ACR
1096300390017; XAROPE SANTO ANTÔNIO; XAROPE SANTO ANTONIO; NOT FOUND; 10 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
1450100030022; XAROPE DE EUCALIPTO BRASMED; XAROPE EUCALIPTO BRASMED; NOT FOUND; 0.04 ML/ML XPE CT FR PLAS AMB X 100 ML; NO_ACR
1450100030030; XAROPE DE EUCALIPTO BRASMED; XAROPE EUCALIPTO BRASMED; NOT FOUND; 0.04 ML/ML XPE CT FR PLAS AMB X 120 ML; NO_ACR
1450100030049; XAROPE DE EUCALIPTO BRASMED; XAROPE EUCALIPTO BRASMED; NOT FOUND; 0.04 ML/ML XPE CT FR PLAS AMB X 150 ML; NO_ACR
1450100030014; XAROPE DE EUCALIPTO BRASMED; XAROPE EUCALIPTO BRASMED; NOT FOUND; 0.04 ML/ML XPE CT FR PLAS AMB X 60 ML; NO_ACR
1186000390010; XAROPE DE GUACO; XAROPE GUACO; NOT FOUND; 120 ML; NO_ACR
101500004; XAROPE VALDA; XAROPE VALDA; NOT FOUND; DOSAGEM : 15ML.XPE.FR DE 100ML; NO_ACR
1046700230015; XAROPE MASTRUÇO; XAROPE MASTRUCO; NOT FOUND; EXT.FL.MASTRUCO 0.006ML+ASSOC. XAROPE 150ML.; NO_ACR
1051900140011; XPE.IODETO DE POTÁSSIO; XPE IODETO POTASSIO; NOT FOUND; 100ML.LIQ.VD.12 UN; NO_ACR
1051901111201; XPE.LIMAO BRAVO; XPE LIMAO BRAVO; NOT FOUND; 100ML.LIQ.VD.12 UN; NO_ACR
1051900260011; XPE.PEITORAL DE ANGICO; XPE PEITORAL ANGICO; NOT FOUND; 100ML.LIQ.VD.12 UN; NO_ACR
SI/NC; XPE.SULFATO FERROSO; XPE SULFATO FERROSO; NOT FOUND; 100ML. LIQ. VD. 12UN; NO_ACR
SI/NC; XPE. IODETO DE POTÁSSIO; XPE IODETO POTASSIO; NOT FOUND; LIQ. VD. 100 ML; NO_ACR
1051100060026; XAROPE SANTO ANTONIO; XAROPE SANTO ANTONIO; NOT FOUND; FRASCOS COM 100ML; NO_ACR
1119900110012; XPE LIMÃO BRAVO; XPE LIMAO BRAVO; NOT FOUND; CART. C/ 1 FRASCO C/ 100 ML ; 2.0G DE BENZOATO DE SODIO; 0.667G DE BROMOFORMIO; 6.67ML DE ALCOOLATURA DE SIPARUNA APIOSYCE; NO_ACR
