1186100930025; HIDYN H; HIDYN H; NOT FOUND; 10 MG/G BISN C/ 30 G - CREME; NO_ACR
1186100930041; HIDYN H; HIDYN H; NOT FOUND; 10 MG/G BISN C/ 30 G - POMADA; NO_ACR
1155700210015; HINOX; HINOX; NOT FOUND; COM REV CX FR PLAS INC X 30; NO_ACR
1155700210031; HINOX; HINOX; NOT FOUND; COM REV CT FR PLAS X 90; NO_ACR
1092200310035; HEPATOCLER; HEPATOCLER; NOT FOUND; SOL OR CT 100 FLAC X 10 ML  ; NO_ACR
1092200310013; HEPATOCLER; HEPATOCLER; NOT FOUND; SOL ORAL CX C/ 12 FLAC X 10 ML; NO_ACR
1092200310021; HEPATOCLER; HEPATOCLER; NOT FOUND; SOL ORAL CX C/ 4 FLAC X 10 ML; NO_ACR
1028500090054; HEPATONIL; HEPATONIL; NOT FOUND; CX. C/ 12 FLACONETES 10ML; NO_ACR
113780; HEPATONIL; HEPATONIL; NOT FOUND; CX. C/ 24 FLACONETES 10ML; NO_ACR
1028500090017; HEPATONIL; HEPATONIL; NOT FOUND; LIQ. CX. FR. VD. 150ML; NO_ACR
1043400060012; HEPATOGENOL; HEPATOGENOL; NOT FOUND; SOLUCAO FR C/ 100 ML; NO_ACR
1043400060020; HEPATOGENOL; HEPATOGENOL; NOT FOUND; DRGEA FR C/ 20; NO_ACR
1010702070011; HEPSERA; HEPSERA; NOT FOUND; 10 MG COM CT FR PLAS OPC X 30; NO_ACR
1064601190019; HEMOPREX; HEMOPREX; NOT FOUND; 2000UI - CX COM 6 FR/AMP; NO_ACR
1064601190132; HEMOPREX; HEMOPREX; NOT FOUND; 4000 UI/ML SOL INJ CT 6 FA VD INC X 0.75 ML; NO_ACR
1064601190027; HEMOPREX; HEMOPREX; NOT FOUND; 4000 UI/ML SOL INJ CT 6 FA VD INC X 1.0 ML; NO_ACR
