1064601560029; INNOSFEN; INNOSFEN; NOT FOUND; 1.0 MCG CAP GEL MOLE CT BL PLAS AMB X 30; NO_ACR
1064601560037; INNOSFEN; INNOSFEN; NOT FOUND; 1.0MCG - CT C/30 CAPS. GELATINOSAS; NO_ACR
1661400020063; INTRON-A; INTRON A; NOT FOUND; 10 MUI PO LIOF INJ CT 1 FA VD INC + DIL FA VD INC X 1 ML; NO_ACR
1088403700018; IQUEGO - AMOXICILINA; IQUEGO AMOXICILINA; NOT FOUND; 50 MG/ML PO PREP EXTEMP CX 50 FR VD AMB X 80 ML (60 ML APOS RECONSTITUICAO) + DOSADOR; NO_ACR
1088403700069; IQUEGO-AMOXICILINA; IQUEGO AMOXICILINA; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PVC INC X 500; NO_ACR
1088403100010; IQUEGO - AMPICILINA; IQUEGO AMPICILINA; NOT FOUND; 500 MG COM CX 50 ENV AL X 10; NO_ACR
1376401280017; IMURAN; IMURAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS BR OPC X 50; NO_ACR
1376401280033; IMURAN; IMURAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS BR OPC X 100; NO_ACR
1002500710025; IMURAN; IMURAN; NOT FOUND; 50MG X 50 CPDS; NO_ACR
1010701860025; IMURAN; IMURAN; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 25; NO_ACR
1088403640015; IQUEGO - BENZOATO DE BENZILA; IQUEGO BENZOATO BENZILA; NOT FOUND; 250 MG/ML LOC EMUL CX 50 FR VD AMB X 100 ML (EMB HOSP); NO_ACR
1155700480012; IMUNOGLUCAM; IMUNOGLUCAM; NOT FOUND; FR. AMPOLA C/ 5ML; NO_ACR
1088403160013; IQUEGO - HIOSCINA; IQUEGO HIOSCINA; NOT FOUND; 10 MG COM REV CX 50 ENV AL POLIET X 10 (EMB HOSP); NO_ACR
1123634080017; INVOKANA; INVOKANA; NOT FOUND; 100 MG COM REV OR CT BL AL PLAS TRANS X 10 ; NO_ACR
1123634080033; INVOKANA; INVOKANA; NOT FOUND; 100 MG COM REV OR CT BL AL PLAS TRANS X 30; NO_ACR
1123634080068; INVOKANA; INVOKANA; NOT FOUND; 300 MG COM REV OR CT BL AL PLAS TRANS X 10; NO_ACR
1123634080084; INVOKANA; INVOKANA; NOT FOUND; 300 MG COM REV OR CT BL AL PLAS TRANS X 30; NO_ACR
1088402940023; IQUEGO - CAPTOPRIL; IQUEGO CAPTOPRIL; NOT FOUND; 25 MG COM CT ENV PE/AL X 500 (EMB HOSP); NO_ACR
1376400410014; INFLAXIB; INFLAXIB; NOT FOUND; 100 MG CAP CX 1 BL X 10; NO_ACR
1376400410022; INFLAXIB; INFLAXIB; NOT FOUND; 100 MG CAP CX 2 BL X 10; NO_ACR
1376400410030; INFLAXIB; INFLAXIB; NOT FOUND; 100 MG CAP CX 3 BL X 10; NO_ACR
1376400410065; INFLAXIB; INFLAXIB; NOT FOUND; 200 MG CAP CX 1 BL X 10; NO_ACR
1376400410057; INFLAXIB; INFLAXIB; NOT FOUND; 200 MG CAP CX 2 BL X 10; NO_ACR
1376400410049; INFLAXIB; INFLAXIB; NOT FOUND; 200 MG CAP CX 3 BL X 10; NO_ACR
1556200130016; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML; NO_ACR
1556200130040; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML; NO_ACR
1556200130024; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML; NO_ACR
1556200130059; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML; NO_ACR
1556200130032; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CX 25 FR VD INC X 20 ML; NO_ACR
1376401250010; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 1 FA VD INC; NO_ACR
1376401250061; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 1 FA VD INC + 1 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401250037; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 10 FA VD INC; NO_ACR
1376401250088; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401250045; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 25 FA VD INC; NO_ACR
1376401250096; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 25 FA VD INC + 25 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401250029; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 5 FA VD INC; NO_ACR
1376401250071; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 5 FA VD INC + 5 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401250053; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 50 FA VD INC; NO_ACR
1376401250101; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 50 FA VD INC + 50 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401240015; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 50 FA VD INC + 50 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401240023; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 25 FA VD INC + 25 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401240031; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401240041; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 5 FA VD INC + 5 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401240058; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 1 FA VD INC + 1 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
1376401240066; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 50 FA VD INC; NO_ACR
1376401240074; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 25 FA VD INC; NO_ACR
1376401240090; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 5 FA VD INC; NO_ACR
1376401240104; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 1 FA VD INC; NO_ACR
1376401240082; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 10 FA VD INC; NO_ACR
1088403120011; IQUEGO - SAIS PARA REIDRATAÇÃO ORAL; IQUEGO SAIS PARA REIDRATACAO ORAL; NOT FOUND; PO SOL OR CX 100 ENV AL POLIET POLIESTER X 27.6 G; NO_ACR
1517000080014; ISOFARMA-SOLUÇÃO DE CLORETO DE POTÁSSIO; ISOFARMA SOLUCAO CLORETO POTASSIO; NOT FOUND; 191 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML ; NO_ACR
1517000080022; ISOFARMA-SOLUÇÃO DE CLORETO DE POTÁSSIO; ISOFARMA SOLUCAO CLORETO POTASSIO; NOT FOUND; 191 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML; NO_ACR
