1065500260022; OTODOL; OTODOL; NOT FOUND; SOL. FR X 8ML; NO_ACR
1017100970011; ORGALUTRAN; ORGALUTRAN; NOT FOUND; 0.5 MG/ML SOL INJ CT SER VD PREENCHIDA X 0.5 ML; NO_ACR
1468200200011; OCTRIDE; OCTRIDE; NOT FOUND; 0.05 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1468200200021; OCTRIDE; OCTRIDE; NOT FOUND; 0.05 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NO_ACR
1468200200038; OCTRIDE; OCTRIDE; NOT FOUND; 0.10 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1468200200046; OCTRIDE; OCTRIDE; NOT FOUND; 0.10 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NO_ACR
1547100010028; OCTRIDE; OCTRIDE; NOT FOUND; 0.05 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NO_ACR
1547100010011; OCTRIDE; OCTRIDE; NOT FOUND; 0.05 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1547100010044; OCTRIDE; OCTRIDE; NOT FOUND; 0.10 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NO_ACR
1547100010036; OCTRIDE; OCTRIDE; NOT FOUND; 0.10 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1196100130018; OCUVITE PRESERVISION; OCUVITE PRESERVISION; NOT FOUND; COM REV CT FR PLAS OPC X 120; NO_ACR
1121301840029; OSTEOTRAT; OSTEOTRAT; NOT FOUND; 10 MG COM CT 2 BL AL PLAS AMB X 15; NO_ACR
1121301840010; OSTEOTRAT; OSTEOTRAT; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 15; NO_ACR
1112402220019; OVIDREL; OVIDREL; NOT FOUND; 250 MCG CX C/1 FR AMP + 1 FR AMP SOLVENTE; NO_ACR
1112402220035; OVIDREL; OVIDREL; NOT FOUND; 250 MCG CX C/10 FR AMP + 10 FR AMP SOLVENTE; NO_ACR
SI/NC; OVIDREL; OVIDREL; NOT FOUND; 250 MCG CX C/2 FR AMP + 2 FR AMP SOLVENTE; NO_ACR
1112402220043; OVIDREL; OVIDREL; NOT FOUND; 250 MCG/ML SOL INJ CT 1 SER PREENCH X 0.5 ML; NO_ACR
1092200650019; OFTAZUL; OFTAZUL; NOT FOUND; SOL TOP GTS FR C/ 15 ML; NO_ACR
1017100280018; ORMIGREIN; ORMIGREIN; NOT FOUND; COM CT  ENV AL  X 10; NO_ACR
1017100280048; ORMIGREIN; ORMIGREIN; NOT FOUND; COM CT 2 BL AL/AL X 10; NO_ACR
1376400280035; OSTRIOL; OSTRIOL; NOT FOUND; 1 MCG/ML SOL INJ CT 25 AMP VD X 1 ML; NO_ACR
1376400280024; OSTRIOL; OSTRIOL; NOT FOUND; 1 MCG/ML SOL INJ CT 3 AMP VD X 1 ML; NO_ACR
1376400280046; OSTRIOL; OSTRIOL; NOT FOUND; 2 MCG/ML SOL INJ CT 25 AMP VD X 1 ML; NO_ACR
1376400280013; OSTRIOL; OSTRIOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT BL AL PLAS AMB X 30; NO_ACR
1064601580011; ONCOPLATIN; ONCOPLATIN; NOT FOUND; 50 MG PO LIOF CT FA VD AMB; NO_ACR
1064601580021; ONCOPLATIN; ONCOPLATIN; NOT FOUND; 150 MG PO LIOF CT FA VD AMB; NO_ACR
1064601580070; ONCOPLATIN; ONCOPLATIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 45 ML; NO_ACR
1064601580062; ONCOPLATIN; ONCOPLATIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 15 ML; NO_ACR
1064601580054; ONCOPLATIN; ONCOPLATIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 5 ML; NO_ACR
