1002000170021; DIANE 35; DIANE 35; NOT FOUND; 2 MG + 0.035 MG DRG CT BL CALEND AL PLAS INC X 21; NO_ACR
1002000170056; DIANE 35; DIANE 35; NOT FOUND; 2 MG + 0.035 MG DRG CT BL - CALEND AL PLAS INC X 21; NO_ACR
1468200220012; D-VOID; D VOID; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB NEB X 5 ML; NO_ACR
1468200220020; D-VOID; D VOID; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB NEB X 2.5 ML; NO_ACR
1547100030029; D-VOID; D VOID; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB NEB X 2.5 ML; NO_ACR
1547100030010; D-VOID; D VOID; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB NEB X 5 ML; NO_ACR
1121000040015; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; CX.C/50 BISN. X 10 G; NO_ACR
1068900870014; DEXAMETAX; DEXAMETAX; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
1168000120015; DEXAMETAX; DEXAMETAX; NOT FOUND; 1MG/G CREME DERM BISN AL X 10G; NO_ACR
1028500060032; DEXACORT; DEXACORT; NOT FOUND; CREME TP. CX. BISN. 10GR; NO_ACR
1028500060010; DEXACORT; DEXACORT; NOT FOUND; POM. TP. CX. BISN. 10GR; NO_ACR
1017100740030; DILENA; DILENA; NOT FOUND; 2MG COM X 11/ 2MG + 10 MG COM X 10 CT ENV AL X BL PLAST INC X 21; NO_ACR
1211001020017; DIAMOX; DIAMOX; NOT FOUND; CARTUCHO COM FRASCO DE VIDRO AMBAR COM 25 COMPRIM; NO_ACR
1121303580024; DALAP; DALAP; NOT FOUND; 1.0 MG/G GEL DERM CTBG POLIET OPC X 30 G; NO_ACR
1890000350038; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML ; NO_ACR
1890000350046; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML ; NO_ACR
1890000350054; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML ; NO_ACR
1890000350062; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 10 FA VD INC + 10 AMP DIL X 10 ML ; NO_ACR
1890000350070; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML ; NO_ACR
1890000350089; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 10 ML ; NO_ACR
1890000350097; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 10 FA VD INC; NO_ACR
1890000350100; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 20 FA VD INC; NO_ACR
1890000350119; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO INJ CX 100 FA VD INC; NO_ACR
1890000350127; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 10 FA VD INC; NO_ACR
1890000350135; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 20 FA VD INC; NO_ACR
1890000350143; DOCLAXIN; DOCLAXIN; NOT FOUND; 500 MG + 100 MG PO INJ CX 100 FA VD INC; NO_ACR
1027001100103; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO LIOF CX 10 FA VD INC + 10 AMP DIL X 10 ML ; NO_ACR
1027001100111; DOCLAXIN; DOCLAXIN; NOT FOUND; 1000 MG + 200 MG PO LIOF CX 20 FA VD INC + 20 AMP DIL X 10 ML ; NO_ACR
