1002900330017; CANCIDAS; CANCIDAS; NOT FOUND; 50 MG PO LIOF SOL INJ CT FA VD INC; NO_ACR
1002900330025; CANCIDAS; CANCIDAS; NOT FOUND; 70 MG PO LIOF SOL INJ CT FA VD INC; NO_ACR
1112402200018; CETROTIDE; CETROTIDE; NOT FOUND; 0.25 MG PO LIOF INJ CT FA VD INC + 1 SER DIL + 2 AGULHAS + 2 TOALHAS; NO_ACR
1112402200026; CETROTIDE; CETROTIDE; NOT FOUND; 0.25MG C/7 FR AMP PO LIOFILIZADO P/INJ + 7 SER SOL; NO_ACR
1002000760015; CLIMENE; CLIMENE; NOT FOUND; 2 MG DRG / 2 MG + 1 MG DRG CT BL CALEND X 11 + 10; NO_ACR
1002000760015; CLIMENE; CLIMENE; NOT FOUND; 2 MG DRG / 2 MG + 1 MG DRG CT BL CALEND X 11 + 10; NO_ACR
1055001630027; CLOSTEMIN; CLOSTEMIN; NOT FOUND; CRE 50 BG X 30 G; NO_ACR
1055001630019; CLOSTEMIN; CLOSTEMIN; NOT FOUND; 5 MG/G + 5 MG/G CREME CT BG PLAS OPC X 30 G ; NO_ACR
1055001630043; CLOSTEMIN; CLOSTEMIN; NOT FOUND; 5 MG/G + 5 MG/G CREME VAG CT 50 BG PLAS OPC X 40 G + APLIC (EMB HOSP); NO_ACR
1055001630035; CLOSTEMIN; CLOSTEMIN; NOT FOUND; 5 MG/G + 5 MG/G CREME VAG CT BG PLAS OPC X 40 G  +  APLICADOR; NO_ACR
1039404720014; CETIVA; CETIVA; NOT FOUND; 5000UI + 65MG + 30MG/ML SOL OR CT FR VD AMB X 30 M; NO_ACR
1781700760012; CETIVA AE; CETIVA AE; NOT FOUND; 5000 UI/ML + 65 MG/ML + 30 MG/ML SOL OR CT FR VD AMB X 30 ML; NO_ACR
1121302030012; COPAXONE; COPAXONE; NOT FOUND; 20 MG PO LIOF INJ CT 28 FA + 28 AMP DIL + 29 SER +29 AG + 88 SAC; NO_ACR
1121302030031; COPAXONE; COPAXONE; NOT FOUND; 20 MG/ML SOL INJ CT 28 SERINGA PRE-ENCHIDA X 1 ML; NO_ACR
1211000100076; CYCRIN; CYCRIN; NOT FOUND; CARTUCHO COM BLISTER COM 14 COMPRIMIDOS DE 10.0 MG; NO_ACR
1211000100051; CYCRIN; CYCRIN; NOT FOUND; CARTUCHO COM BLISTER COM 14 COMPRIMIDOS DE 2.5 MG; NO_ACR
1211000100025; CYCRIN; CYCRIN; NOT FOUND; CARTUCHO COM BLISTER COM 14 COMPRIMIDOS DE 5.0 MG; NO_ACR
1002000820018; CLIANE; CLIANE; NOT FOUND; 2 MG + 1 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1002000820018; CLIANE; CLIANE; NOT FOUND; 2 MG + 1 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1211001080011; CENTRUM SILVER; CENTRUM SILVER; NOT FOUND; COM REV CT FR PLAS OPC X 30; NO_ACR
1010702980016; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 80 ML + COP; NO_ACR
1010702980024; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML + COP; NO_ACR
1010702980032; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 150 ML + COP; NO_ACR
1010702980040; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CX 50 FR VD AMB X 80 ML + 50 COP; NO_ACR
