1057700540028; MEMORIOGLUTAN; MEMORIOGLUTAN; NOT FOUND; FR 50 DRG; NO_ACR
1120800740021; MULTIVITAM; MULTIVITAM; NOT FOUND; CX. C/50 FRX30 COMP; NO_ACR
1120800740031; MULTIVITAM; MULTIVITAM; NOT FOUND; COM REV CX 25 FR PLAS OPC X 30; NO_ACR
1055001460059; MUCOCETIL; MUCOCETIL; NOT FOUND; 100 MG/5G GRAN CT 16 ENV AL ; NO_ACR
1055001460091; MUCOCETIL; MUCOCETIL; NOT FOUND; 600 MG/5G GRAN CT 16 ENV AL ; NO_ACR
1055001460105; MUCOCETIL; MUCOCETIL; NOT FOUND; 600 MG GRAN CX C/ 200 ENV; NO_ACR
1055001460075; MUCOCETIL; MUCOCETIL; NOT FOUND; 200 MG/5G GRAN CT 16 ENV AL ; NO_ACR
1055001460113; MUCOCETIL; MUCOCETIL; NOT FOUND; 11.5 MG/ML SOL NASAL CT FR VD AMB X 12 ML + CT GTS; NO_ACR
1055001460016; MUCOCETIL; MUCOCETIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML ; NO_ACR
1055001460032; MUCOCETIL; MUCOCETIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 150 ML ; NO_ACR
1055000970010; MINUSORB; MINUSORB; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 15; NO_ACR
1055000970029; MINUSORB; MINUSORB; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
1055000970037; MINUSORB; MINUSORB; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4; NO_ACR
1027000010016; MINOTON; MINOTON; NOT FOUND; 24 MG/ML SOL INJ CX 100 AMP X 10 ML; NO_ACR
1027000010045; MINOTON; MINOTON; NOT FOUND; 100 MG CX C/ 20 COM; NO_ACR
1027000010053; MINOTON; MINOTON; NOT FOUND; 200 MG CX C/ 20 COM; NO_ACR
1890000250017; MINOTON; MINOTON; NOT FOUND; 24 MG/ML SOL INJ CX 100 AMP X 10 ML; NO_ACR
1211002990011; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF SOL INJ IV CT 1 FA VD TRANS; NO_ACR
