1064601590025; KINNOFERON; KINNOFERON; NOT FOUND; 3.000.000 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 1 ML ; NO_ACR
1064601590051; KINNOFERON; KINNOFERON; NOT FOUND; 9.000.000 UI PO LIOF INJ CT 1 FA VD INC + 1 AMP DIL X 1 ML; NO_ACR
1015101150028; KYBERNIN P; KYBERNIN P; NOT FOUND; 50 UI/ML PO LIOF INJ CT FA + DIL X 20 ML+ DISPOSITIVO DE TRANSFERENCIA; NO_ACR
1015101150011; KYBERNIN P; KYBERNIN P; NOT FOUND; 50 UI/ML PO LIOF INJ CT FA DIL X 10 ML + DISPOSITIVO DE TRANSF; NO_ACR
1313400100017; KARBAC; KARBAC; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; NO_ACR
1313400100025; KARBAC; KARBAC; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 20; NO_ACR
1252100040031; KIFLEXIN; KIFLEXIN; NOT FOUND; 250 MG FR 150 ML; NO_ACR
1252100040048; KIFLEXIN; KIFLEXIN; NOT FOUND; 250 MG FR 60 ML; NO_ACR
1252100220021; KIFLEXIN; KIFLEXIN; NOT FOUND; 150 MG BL 20 COMP; NO_ACR
1252100040064; KIFLEXIN; KIFLEXIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
1126000650299; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 250 MG - 1 FRASCO COM 100 ML; NO_ACR
1126000650264; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 250 MG - 1 FRASCO COM 60 ML; NO_ACR
1126000650302; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 500 MG - 1 FRASCO COM 100 ML; NO_ACR
1126000650256; KEFLEX; KEFLEX; NOT FOUND; KEFLEX GOTAS - 1 FRASCO 15ML; NO_ACR
1556200010071; KEFORAL; KEFORAL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 40; NO_ACR
1556200010061; KEFORAL; KEFORAL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; NO_ACR
1556200010053; KEFORAL; KEFORAL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
1556200010053; KEFORAL; KEFORAL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
1126000650329; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 1 G - 1 CX COM 14 DRGS.; NO_ACR
1126000650231; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 1 G - 1 CX COM 40 DRGS.; NO_ACR
1126000650213; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 1 G - 1 CX COM 8 DRGS.; NO_ACR
1126000650310; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 500 MG - 1 CX COM 28 DRGS.; NO_ACR
