1039405320109; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ; NO_ACR
1039405320095; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; NO_ACR
1039405320044; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ; NO_ACR
1039405320036; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; NO_ACR
1121303330028; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
1121303330011; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; NO_ACR
1620400020090; ADVANTAN; ADVANTAN; NOT FOUND; 1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML; NO_ACR
1002000860151; ADVANTAN; ADVANTAN; NOT FOUND; 0.1 PCC LOCAO DERM BISN C/ 20 G; NO_ACR
1002000860011; ADVANTAN; ADVANTAN; NOT FOUND; 0.1 PCC CREME DERM BISN C/ 15 G; NO_ACR
1002000860133; ADVANTAN; ADVANTAN; NOT FOUND; 1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML; NO_ACR
1620400020015; ADVANTAN; ADVANTAN; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 15 G; NO_ACR
1620400020155; ADVANTAN; ADVANTAN; NOT FOUND; 1 MG/G LOCAO CREMOSA CT BG AL X 20 G; NO_ACR
1064601380012; ANDROSTERON; ANDROSTERON; NOT FOUND; 50MG COM CT FR VD AMB X 20; NO_ACR
1064601380020; ANDROSTERON; ANDROSTERON; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
1064601380039; ANDROSTERON; ANDROSTERON; NOT FOUND; 100 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
1064601740019; ACETATO DE CIPROTERONA; ACETATO CIPROTERONA; ACETATO CIPROTERONA; 50 MG COM CT BL AL PLAS INC X 20; NO_ACR
1064601740043; ACETATO DE CIPROTERONA; ACETATO CIPROTERONA; ACETATO CIPROTERONA; 100 MG COM CT BL AL PLAS INC X 20; NO_ACR
1002000020089; ANDROCUR; ANDROCUR; NOT FOUND; 100 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
1002000020089; ANDROCUR; ANDROCUR; NOT FOUND; 100 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
