1123634010019; ZYTIGA; ZYTIGA; NOT FOUND; 250 MG COM CT FR PLAS OPC X 120; NO_ACR
1186100850021; ZIRVIT E; ZIRVIT E; NOT FOUND; 400 UI CX C/ 30 CAPS; NO_ACR
1010702530037; ZOVIRAX; ZOVIRAX; NOT FOUND; 250 MG PO LIOF CT 5 FA VD INC; NO_ACR
1010702530045; ZOVIRAX; ZOVIRAX; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
1010702530010; ZOVIRAX; ZOVIRAX; NOT FOUND; 0.03 G/G POM OFT CT BG AL X 4.5 G; NO_ACR
1010702530029; ZOVIRAX; ZOVIRAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25; NO_ACR
1002500880044; ZOVIRAX; ZOVIRAX; NOT FOUND; 400MG X 70CPDS; NO_ACR
1010700890036; ZENTEL; ZENTEL; NOT FOUND; 40 MG/ML SUS OR CT FR PLAS AMB X 10 ML; NO_ACR
1451700050014; ZOLMIN; ZOLMIN; NOT FOUND; 40MG/MLSUS OR 10ML; NO_ACR
1010700890011; ZENTEL; ZENTEL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 2; NO_ACR
1010700890044; ZENTEL; ZENTEL; NOT FOUND; 400 MG COM MAST CT BL AL PLAS INC X 1; NO_ACR
1010700890052; ZENTEL; ZENTEL; NOT FOUND; 400 MG COM MAST CT BL AL PLAS INC X 5; NO_ACR
1015101240019; ZEMAIRA; ZEMAIRA; NOT FOUND; 1000 MG PO LIOF INJ CT FA VD INC + FA VD INC DIL X 20 ML + DISP TRANSF; NO_ACR
1376401220014; ZYLORIC; ZYLORIC; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; NO_ACR
1376401220022; ZYLORIC; ZYLORIC; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 30; NO_ACR
1002500780015; ZYLORIC; ZYLORIC; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; NO_ACR
1002500780058; ZYLORIC; ZYLORIC; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 30; NO_ACR
1211002830020; ZARATOR; ZARATOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 20; NO_ACR
1211002830012; ZARATOR; ZARATOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; NO_ACR
1211002830039; ZARATOR; ZARATOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
1211002830047; ZARATOR; ZARATOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 60; NO_ACR
1211002830055; ZARATOR; ZARATOR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 90; NO_ACR
1211002830063; ZARATOR; ZARATOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; NO_ACR
1211002830071; ZARATOR; ZARATOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 20; NO_ACR
1211002830081; ZARATOR; ZARATOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; NO_ACR
1211002830098; ZARATOR; ZARATOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 60; NO_ACR
1211002830101; ZARATOR; ZARATOR; NOT FOUND; 20 MG COM REV CT BL AL/AL X 90; NO_ACR
1211002830111; ZARATOR; ZARATOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 10; NO_ACR
1211002830128; ZARATOR; ZARATOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 20; NO_ACR
1211002830136; ZARATOR; ZARATOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; NO_ACR
1211002830144; ZARATOR; ZARATOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 60; NO_ACR
1211002830152; ZARATOR; ZARATOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 90; NO_ACR
1211002830160; ZARATOR; ZARATOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 10; NO_ACR
1211002830179; ZARATOR; ZARATOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 20; NO_ACR
1211002830187; ZARATOR; ZARATOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 30; NO_ACR
1211002830195; ZARATOR; ZARATOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 60; NO_ACR
1211002830209; ZARATOR; ZARATOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 90; NO_ACR
1010702050027; ZINNAT; ZINNAT; NOT FOUND; 250 MG/5ML PO SUS OR CT FR VD AMB X 50 ML; NO_ACR
1010702050035; ZINNAT; ZINNAT; NOT FOUND; 250 MG/5ML PO SUS OR CT FR VD AMB X 70 ML; NO_ACR
1002500450121; ZINNAT; ZINNAT; NOT FOUND; SUSPENSAO 125MG X 50ML; NO_ACR
1010702050078; ZINNAT; ZINNAT; NOT FOUND; 250 MG PO SUS OR CT ENV AL/PLAS X 14; NO_ACR
1010702050094; ZINNAT; ZINNAT; NOT FOUND; 250 MG PO SUS OR CT ENV AL/PLAS X 100 (EMB FRAC); NO_ACR
1010702050086; ZINNAT; ZINNAT; NOT FOUND; 250 MG PO SUS OR CT ENV AL/PLAS X 20; NO_ACR
1002500450090; ZINNAT; ZINNAT; NOT FOUND; 125MG X 10 CPDS; NO_ACR
1010702050061; ZINNAT; ZINNAT; NOT FOUND; 250 MG COM REV CT BL AL/AL X 10; NO_ACR
1010702050051; ZINNAT; ZINNAT; NOT FOUND; 500 MG COM REV CT BL AL/AL X 14; NO_ACR
1010702050043; ZINNAT; ZINNAT; NOT FOUND; 500 MG COM REV CT BL AL/AL X 20; NO_ACR
1002500450072; ZINNAT; ZINNAT; NOT FOUND; 500MG X 10CPDS; NO_ACR
1010702050191; ZINNAT; ZINNAT; NOT FOUND; 250 MG COM REV CT BL AL/AL X 14; NO_ACR
1171700290071; ZITROMICIN; ZITROMICIN; NOT FOUND; 600 MG PO PREP EXT CT FR PLAS OPC X 15 ML DIL; NO_ACR
1171700290088; ZITROMICIN; ZITROMICIN; NOT FOUND; 900 MG PO PREP EXT CT FR PLAS OPC X 22.5 ML DIL; NO_ACR
1171700290053; ZITROMICIN; ZITROMICIN; NOT FOUND; 250 MG CAP GEL MOLE CT BL AL PLAS INC X 4; NO_ACR
1171700290037; ZITROMICIN; ZITROMICIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
1171700710028; ZITROMICIN; ZITROMICIN; NOT FOUND; 500 MG COM REV CT BL AL PLAST IN CX 3; NO_ACR
1171700710036; ZITROMICIN; ZITROMICIN; NOT FOUND; 500 MG COM REV CT BL AL PLAST IN CX 5; NO_ACR
1092201810041; ZITRINA; ZITRINA; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3 ; NO_ACR
1186100960013; ZIRVIT BETA; ZIRVIT BETA; NOT FOUND; 6 MG CX C/ 30 CAPS; NO_ACR
1186100630080; ZIRVIT PLUS; ZIRVIT PLUS; NOT FOUND; CX C/ 30 COMPR REV; NO_ACR
1186100630110; ZIRVIT PLUS; ZIRVIT PLUS; NOT FOUND; COM REV CT 5 BL AL PLAS INC X 6; NO_ACR
1376400070019; ZENCEF; ZENCEF; NOT FOUND; 750 MG PO SOL INJ CT FA VD INC + SOL DIL FA VD INC X 6 ML; NO_ACR
1376400070027; ZENCEF; ZENCEF; NOT FOUND; 750 MG PO SOL INJ CT FA VD INC; NO_ACR
1376400070043; ZENCEF; ZENCEF; NOT FOUND; 750 MG PO INJ CX 50 FA VD INC; NO_ACR
1376400070035; ZENCEF; ZENCEF; NOT FOUND; 750 MG PO INJ CX 50 FA VD INC + 50 SOL DIL X 6 ML; NO_ACR
1010702210024; ZINACEF; ZINACEF; NOT FOUND; 750 MG PO INJ CT FA VD INC + DIL X 6 ML; NO_ACR
1376400250033; ZINOGRAF ME; ZINOGRAF ME; NOT FOUND; 100 MG CAPS. CX. 50; NO_ACR
1376400250017; ZINOGRAF ME; ZINOGRAF ME; NOT FOUND; 25 MG CAPS. CX. 50; NO_ACR
1376400250025; ZINOGRAF ME; ZINOGRAF ME; NOT FOUND; 50 MG CAPS. CX. 50; NO_ACR
1010702720014; ZYBAN; ZYBAN; NOT FOUND; 150 MG COM REV LIB LENTA CT BL AL/AL X 30; NO_ACR
1010702720022; ZYBAN; ZYBAN; NOT FOUND; 150 MG COM REV LIB LENTA CT BL AL/AL X 60; NO_ACR
1211700980011; ZANIDIP; ZANIDIP; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 20; NO_ACR
