1121302850011; SOMATULINE LP; SOMATULINE LP; NOT FOUND; 30 MG PO LIOF INJ CT FA + AMP DIL 2 ML + SER + 2 AGULHAS; NO_ACR
1045401540011; SUSTRESS PLUS; SUSTRESS PLUS; NOT FOUND; CAIXA COM FRASCO PLASTICO COM 30 COMP; NO_ACR
1155700560016; SUPLAN; SUPLAN; NOT FOUND; COMPR. CX. C/ 30; NO_ACR
1155700220010; SUPLAN; SUPLAN; NOT FOUND; GEST FR. C/ 30 COMPR. VER.; NO_ACR
1028500510016; SENOL; SENOL; NOT FOUND; CREME TP. CX. BISN. 20GR; NO_ACR
1039405360062; SULBAMOX; SULBAMOX; NOT FOUND; 1000 MG +500 MG PO INJ CT FA VD INC + AMP DIL VD INC X 5 ML; NO_ACR
1039405360054; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG +250 MG PO INJ CT FA VD INC + AMP DIL VD INC X 5 ML; NO_ACR
1781700210063; SULBAMOX; SULBAMOX; NOT FOUND; 1000 MG +500 MG PO INJ CT FA VD INC + AMP DIL VD INC X 5 ML; NO_ACR
1781700210055; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG +250 MG PO INJ CT FA VD INC + AMP DIL VD INC X 5 ML; NO_ACR
1039405360070; SULBAMOX; SULBAMOX; NOT FOUND; 25 MG/ML +25 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; NO_ACR
1039405360089; SULBAMOX; SULBAMOX; NOT FOUND; 50 MG/ML +50 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; NO_ACR
1039405360127; SULBAMOX; SULBAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT FR PLAS OPC X 15 G (CAP 30 ML) + DOSIF ; NO_ACR
1039405360135; SULBAMOX; SULBAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF ; NO_ACR
1781700210128; SULBAMOX; SULBAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT FR PLAS OPC X 15 G (CAP 30 ML) + DOSIF ; NO_ACR
1781700210136; SULBAMOX; SULBAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF ; NO_ACR
