1186101270037; VITIZIN E; VITIZIN E; NOT FOUND; 400UI CX C/ 30 CAPSULAS; NO_ACR
1057700560021; VIETA; VIETA; NOT FOUND; CX 30 CAPS; NO_ACR
1228300070061; VITASAY; VITASAY; NOT FOUND; 2 BL X 20 DRG; NO_ACR
1228300320025; VITASAY STRESS; VITASAY STRESS; NOT FOUND; FR X 30 COMP; NO_ACR
1228300320033; VITASAY STRESS; VITASAY STRESS; NOT FOUND; FR X 60 COMP; NO_ACR
1043400200019; VITS; VITS; NOT FOUND; SUSP FR C/ 100 ML; NO_ACR
1043400200027; VITS; VITS; NOT FOUND; CAPS FR C/ 30; NO_ACR
1376400630014; VIROTIN; VIROTIN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25  ; NO_ACR
1376400630022; VIROTIN; VIROTIN; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 70   ; NO_ACR
1010702810013; VOLIBRIS; VOLIBRIS; NOT FOUND;  5 MG COM REV CT BL AL PVC X 30; NO_ACR
1010702810021; VOLIBRIS; VOLIBRIS; NOT FOUND; 10 MG COM REV CT BL AL PVC X 30; NO_ACR
1521300220014; VAGIDERM; VAGIDERM; NOT FOUND; CX C/01 BL C/60G CR VAGINAL; NO_ACR
1257600200010; VIDAZA; VIDAZA; NOT FOUND; 100MG/200MG PO LIOF SUS INJ SC FA VD INC X 200MG; NO_ACR
1186101280032; VITIZIN BETA; VITIZIN BETA; NOT FOUND; 6MG CX C/ 30 CAPSULAS; NO_ACR
1186000710031; VITAMAX OXI; VITAMAX OXI; NOT FOUND; COM REV CT FR PLAS OPC X 45; NO_ACR
1027000310041; VENOSTASIN; VENOSTASIN; NOT FOUND; BG C/ 20 G; NO_ACR
1027000320029; VENOSTASIN; VENOSTASIN; NOT FOUND; FR C/ 20 CAP; NO_ACR
1030700070100; VAN ROOSMALEN; VAN ROOSMALEN; NOT FOUND; PO ORAL FR 30 G; NO_ACR
1030700070022; VAN ROOSMALEN; VAN ROOSMALEN; NOT FOUND; PO ORAL FR 60 G; NO_ACR
1002901820018; VICTRELIS; VICTRELIS; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 336; NO_ACR
1057700570024; VISIPLEX; VISIPLEX; NOT FOUND; 0.15 MG/ML + 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML; NO_ACR
1123633730018; VELCADE; VELCADE; NOT FOUND; 3.5 MG PO LIOF INJ CT FA VD INC; NO_ACR
1123633730026; VELCADE; VELCADE; NOT FOUND; 1 MG PO LIOF INJ CT FA VD INC; NO_ACR
1211002770028; VACINA PNEUMOCÓCICA 13 - VALENTE (CONJUGADA); VACINA PNEUMOCOCICA 13 VALENTE CONJUGADA; NOT FOUND; SUS INJ CT 02 EST 05 SER PREENCH X 0.5 ML + 10 AGU; NO_ACR
1211002770011; VACINA PNEUMOCÓCICA 13 - VALENTE (CONJUGADA); VACINA PNEUMOCOCICA 13 VALENTE CONJUGADA; NOT FOUND; SUS INJ CT 01 EST 01 SER PREENCH X 0.5 ML + 01 AGU; NO_ACR
1057700690050; VITATONUS; VITATONUS; NOT FOUND; CX 2 AMP (2 M/1ML) DEXA; NO_ACR
1057701940017; VITATONUS; VITATONUS; NOT FOUND; 5000 MCG SOL INJ CX 3 AMP VD INC X 2 ML; NO_ACR
1057701940025; VITATONUS; VITATONUS; NOT FOUND; 5000 MCG DRG CT BL AL PLAS INC X 20; NO_ACR
