1062401160012; UNITOSSE XPE; UNITOSSE XPE; NOT FOUND; XPE CT FR PLAS AMB X 100 ML + COP; NO_ACR
1068901080017; UZARA; UZARA; NOT FOUND; 333.4MG SOL ORAL FR GOT X 20ML; NO_ACR
1002000470011; ULTRAPROCT; ULTRAPROCT; NOT FOUND; POM BISN C/ 10 G POMADA; NO_ACR
1002000470020; ULTRAPROCT; ULTRAPROCT; NOT FOUND; CARTELA C/ 6 SUPOSIT; NO_ACR
1620400050011; ULTRAPROCT; ULTRAPROCT; NOT FOUND; 0.918 MG/G + 0.945 MG/G + 5 MG/G + 10 MG/G POM RET BIS AL X 10 G + APLIC; NO_ACR
124250005002; UNIPRIL; UNIPRIL; NOT FOUND; 12.5MG COM CT 2 BL AL PLAS INC X 8; NO_ACR
124250005001; UNIPRIL; UNIPRIL; NOT FOUND; 12.5MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
124250005003; UNIPRIL; UNIPRIL; NOT FOUND; 12.5MG COM CT FR PLAS OPC X 16; NO_ACR
124250005004; UNIPRIL; UNIPRIL; NOT FOUND; 12.5MG COM CT FR PLASC OPS X 30; NO_ACR
124250005006; UNIPRIL; UNIPRIL; NOT FOUND; 25MG COM CT 2 BL AL PLAS INC X 8; NO_ACR
124250005005; UNIPRIL; UNIPRIL; NOT FOUND; 25MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
124250005007; UNIPRIL; UNIPRIL; NOT FOUND; 25MG COM CT FR PLAS OPC X 10; NO_ACR
124250005008; UNIPRIL; UNIPRIL; NOT FOUND; 25MG COM CT FR PLAS OPC X 30; NO_ACR
124250005009; UNIPRIL; UNIPRIL; NOT FOUND; 50MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
124250005010; UNIPRIL; UNIPRIL; NOT FOUND; 50MG COM CT FR PLAS OPC X 20; NO_ACR
1039404960074; ULCIMET; ULCIMET; NOT FOUND; 150 MG/ML SOL  INJ CT 6 AMP VD AMB X 2 ML; NO_ACR
1057701280017; ULCITRAT; ULCITRAT; NOT FOUND; 200 MG COM REV CT 2 BL AL PLAS INC X 10; NO_ACR
1057701280025; ULCITRAT; ULCITRAT; NOT FOUND; CIMETIDINA 400 MG CX 16 COMP; NO_ACR
1039400910048; ULCIMET; ULCIMET; NOT FOUND; 200 MG COMP REV CT 4 BL AL PLAST INC X 10; NO_ACR
1092201070025; ULCERASE (CIMETIDINA); ULCERASE CIMETIDINA; NOT FOUND; 200 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
1334600090026; UROVIT; UROVIT; NOT FOUND; 200 MG DRG CT BL AL PLAS INC X 18; NO_ACR
1334600090018; UROVIT; UROVIT; NOT FOUND; 100 MG DRG CT BL AL PLAS INC X 25; NO_ACR
1026900390025; UROPIRITE; UROPIRITE; NOT FOUND; FR COM 25 DRG; NO_ACR
1620400070039; ULTRAPROCT LDO; ULTRAPROCT LDO; NOT FOUND; 1MG/G + 20 MG/G CREM RET CT BG AL X 30 G + APLIC; NO_ACR
1620400070063; ULTRAPROCT LDO; ULTRAPROCT LDO; NOT FOUND; 1 MG + 40MG SUP RET CT STR AL X 10; NO_ACR
124250008003; ULCERODINE; ULCERODINE; NOT FOUND; 150MG COM CT 2 BL AL OPC X10; NO_ACR
124250008004; ULCERODINE; ULCERODINE; NOT FOUND; 150MG COM CT 3 BL AL OPC X10; NO_ACR
124250008001; ULCERODINE; ULCERODINE; NOT FOUND; 150MG COM CT FR PLAS OPC X 20; NO_ACR
