1057700160046; GEROTREX H3; GEROTREX H3; NOT FOUND; FR 30 DRG; NO_ACR
1057700160062; GEROTREX H3; GEROTREX H3; NOT FOUND; FR 50 DRG; NO_ACR
1039404870016; GINGILONE; GINGILONE; NOT FOUND; PDA BG 10G; NO_ACR
1508200190019; GYNODAL; GYNODAL; NOT FOUND; 160 MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
1064601790016; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 1 FA VD INC X 1 ML; NO_ACR
1064601790067; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
1064601790059; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 5 FA VD INC X 1 ML; NO_ACR
1064601790040; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 1 FA VD INC X 1 ML; NO_ACR
1064601790032; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
1064601790024; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 5 FA VD INC X 1 ML; NO_ACR
1112402050032; GONAL F; GONAL F; NOT FOUND; 150 UI CX C/1 AMP PO LIOFILIZADO P/INJ + 1 AMP SOL; NO_ACR
1112402050059; GONAL F; GONAL F; NOT FOUND; 37.5 UI CX C/1 AMP PO LIOFILIZADO P/INJ + 1 AMP SO; NO_ACR
1112402050083; GONAL F; GONAL F; NOT FOUND; 450 UI / 0.75 ML (33 UG / 0.75 ML). CX C/ 1 FA PO LIOF P/ INJ + SER DILUENTE X 1 ML + 7 SER GRAD; NO_ACR
1112402050075; GONAL F; GONAL F; NOT FOUND; 1050 UI/1.75 ML PO LIOF INJ CT FA VD INC + SER DIL X 2 ML + 15 SER GRAD; NO_ACR
1112402050016; GONAL F; GONAL F; NOT FOUND; 75 UI CX C/1 AMP PO LIOFILIZADO P/INJ + 1 AMP SOLV; NO_ACR
1112402050091; GONAL F; GONAL F; NOT FOUND; 300UI (22MCG)/0.5ML CANETA PRE-CARREGADA; NO_ACR
1112402050113; GONAL F; GONAL F; NOT FOUND; 900UI (66MCG)/1.5ML CANETA PRE-CARREGADA; NO_ACR
1112402050105; GONAL F; GONAL F; NOT FOUND; 450UI (33MCG)/0.75ML CANETA PRE- CARREGADA; NO_ACR
1739000050089; GAVISCON ADVANCE; GAVISCON ADVANCE; NOT FOUND; 100MG/ML + 20MG/ML SUS 12 ENV AL LAM X 10 ML; NO_ACR
1739000050011; GAVISCON ADVANCE; GAVISCON ADVANCE; NOT FOUND; 100MG/ML + 20 MG/ML SUS CT FR VD AMB X 150ML; NO_ACR
