1781701290011; LYDIAN; LYDIAN; NOT FOUND; 2.0 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 ; NO_ACR
1781701290036; LYDIAN; LYDIAN; NOT FOUND; 2.0 MG + 0.035 MG COM REV CT BL AL PLAS INC X 63; NO_ACR
1120800730034; LQFEX DEXAMETASONA; LQFEX DEXAMETASONA; NOT FOUND; CREME 0.1% CX. C/50 BGX10G; NO_ACR
1064601660015; LORELIN DEPOT; LORELIN DEPOT; NOT FOUND; 3.75 MG PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML; NO_ACR
1064601660082; LORELIN DEPOT; LORELIN DEPOT; NOT FOUND; 7.50 MG PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML + 1 SER + 2 AGU + MAT P/ ASSEP ; NO_ACR
1064601660074; LORELIN DEPOT; LORELIN DEPOT; NOT FOUND; 3.75 MG PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML  + 1 SER + 2 AGU + MAT P/ ASSEP; NO_ACR
1039400480021; LISADOR; LISADOR; NOT FOUND; 375 MG/ML + 12.5 MG/ML + 12.5 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML; NO_ACR
1039400480019; LISADOR; LISADOR; NOT FOUND; 375MG + 12.5MG + 12.5MG/ML SOL INJ CX 100 AMP VD A; NO_ACR
1039400480030; LISADOR; LISADOR; NOT FOUND; 375MG + 12.5MG + 12.5MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; NO_ACR
1039400480145; LISADOR; LISADOR; NOT FOUND; 500MG + 5MG + 10MG/1.5ML SOL OR CT FR VD AMB X 15 ML + CGT; NO_ACR
1039400480231; LISADOR; LISADOR; NOT FOUND; 500MG+5MG+10MG/1.5ML SOL ORAL CT FR PLAS 20ML; NO_ACR
1039400480213; LISADOR; LISADOR; NOT FOUND; (500 MG + 5 MG + 10 MG) / 1.5 ML SOL OR CT FR PLAS OPC X 10 ML; NO_ACR
1039400480221; LISADOR; LISADOR; NOT FOUND; 500MG + 5MG + 10MG/1.5ML SOL OR CT FR X 15ML; NO_ACR
1039400480167; LISADOR; LISADOR; NOT FOUND; 250MG + 2.5MG + 5MG SUPOSIT RETAL CT BL PLAST X 5; NO_ACR
1039400480159; LISADOR; LISADOR; NOT FOUND; 750MG + 12.5MG + 50MG SUPOSIT RETAL CT BL PLAST X; NO_ACR
1039400480179; LISADOR; LISADOR; NOT FOUND; 500MG + 5MG + 10MG COMP CT 2 BL AL PLAST AMB X 6; NO_ACR
1039400480080; LISADOR; LISADOR; NOT FOUND; 500MG + 5MG + 10MG COMP CT 50 BL AL PLAST AMB X 4; NO_ACR
1039400480191; LISADOR; LISADOR; NOT FOUND; 500MG CT 25 BL X 8 CPR; NO_ACR
1039400480183; LISADOR; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG COM CT 2 BL AL PLAS AMB X 8; NO_ACR
1039400480064; LISADOR; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG COM CT 25 BL AL PLAS AMB X 4; NO_ACR
1262500360012; LFM-ALBENDAZOL; LFM ALBENDAZOL; NOT FOUND; 200 MG COM CX 150 ENV KRAFT POLIET X 2 (EMB. HOSP.); NO_ACR
1112402210013; LUVERIS; LUVERIS; NOT FOUND; 75 UI CX C/1 FR AMP PO LIOFILIZADO P/INJ + 1 FR AM; NO_ACR
1112402210031; LUVERIS; LUVERIS; NOT FOUND; 75 UI CX C/10 FR AMP PO LIOFILIZADO P/INJ + 10 FR; NO_ACR
1112402210021; LUVERIS; LUVERIS; NOT FOUND; 75 UI CX C/3 FR AMP PO LIOFILIZADO P/INJ + 3 FR AM; NO_ACR
1211700060017; LABOPURINOL; LABOPURINOL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 24; NO_ACR
1211700060025; LABOPURINOL; LABOPURINOL; NOT FOUND; 16 COMP 300 MG; NO_ACR
1120800180018; LQFEX AMINOFILINA; LQFEX AMINOFILINA; NOT FOUND; 24 MG/ML SOL INJ CX 50 AMP VD INC X 10 ML; NO_ACR
1123300130016; LAQFA - AMINOFILINA; LAQFA AMINOFILINA; NOT FOUND; 100 MG COM CX 50 ENV AL X 10; NO_ACR
