1121302100029; BIOTERONA; BIOTERONA; NOT FOUND; 50 MG COM CT FR VD AMB X 20; NO_ACR
1123633740013; BELARA; BELARA; NOT FOUND; 2 MG + 0.03 MG COM REV CT BL CALEND AL PLAS INC X 21 ; NO_ACR
1861000010012; BELARA; BELARA; NOT FOUND; 2 MG + 0.03 MG COM REV CT BL CALEND AL PLAS INC X 21; NO_ACR
1002000100031; BERLISON; BERLISON; NOT FOUND; 1% CREME BISN C/ 15 G; NO_ACR
1002000100058; BERLISON; BERLISON; NOT FOUND; 1% CREME BISN C/ 30 G; NO_ACR
1002000100028; BERLISON; BERLISON; NOT FOUND; 1% POM BISN C/ 15 G; NO_ACR
1002000100041; BERLISON; BERLISON; NOT FOUND; 1% POM BISN C/ 30 G; NO_ACR
1002000100028; BERLISON; BERLISON; NOT FOUND; 1% POM PV BISN C/ 15 G; NO_ACR
1620400030029; BERLISON; BERLISON; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
1620400030010; BERLISON; BERLISON; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 15 G ; NO_ACR
1620400030045; BERLISON; BERLISON; NOT FOUND; 10 MG/G POM DERM CT BG AL X 15 G; NO_ACR
1620400030053; BERLISON; BERLISON; NOT FOUND; 10 MG/G POM DERM CT BG AL X 30 G; NO_ACR
1027001020029; BROMUC; BROMUC; NOT FOUND; 100 MG/ML SOL INJ CX 100 AMP VD AMB X 3 ML; NO_ACR
1027001020010; BROMUC; BROMUC; NOT FOUND; 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML; NO_ACR
1015101080038; BERIBUMIN; BERIBUMIN; NOT FOUND; 200 MG/ML SOL INJ CT 50 FA VD INC X 50 ML; NO_ACR
1015101080011; BERIBUMIN; BERIBUMIN; NOT FOUND; 200 MG/ML SOL INJ CT FA VD INC X 50 ML; NO_ACR
1015101080021; BERIBUMIN; BERIBUMIN; NOT FOUND; 200 MG/ML SOL INJ CT 10 FA VD INC X 50 ML; NO_ACR
1274800080027; BEDFORDALPROST; BEDFORDALPROST; NOT FOUND; 500 MCG/ML SOL INJ CT FA VD INC X 1 ML; NO_ACR
1010700110103; BRONCO AMOXIL; BRONCO AMOXIL; NOT FOUND; 250MG SUSP FR 80ML; NO_ACR
1010700110073; BRONCO AMOXIL; BRONCO AMOXIL; NOT FOUND; 500MG CAPS BL 15; NO_ACR
1045401750014; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 7 ; NO_ACR
1045401750091; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 10 MG COM REV CT BL AL/AL X 15 ; NO_ACR
1045401750065; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 10 MG COM REV CT BL AL/AL X30; NO_ACR
1045401750049; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 10 MG COM REV CT BL AL/AL X 7   ; NO_ACR
1045401750022; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 15; NO_ACR
1045401750030; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 30; NO_ACR
1045401750111; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 15; NO_ACR
1045401750121; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 30; NO_ACR
1045401750103; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 7 ; NO_ACR
1045401750081; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 15; NO_ACR
1045401750057; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 30; NO_ACR
1045401750073; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 7 ; NO_ACR
1015101130019; BERIPLAST-P; BERIPLAST P; NOT FOUND; PO LIOF CT 2 FA VD INC + 2 FA DIL X 0.5 ML; NO_ACR
1015101130035; BERIPLAST-P; BERIPLAST P; NOT FOUND; PO LIOF CT 2 FA VD INC + 2 FA DIL X 1.0 ML; NO_ACR
1015101130027; BERIPLAST-P; BERIPLAST P; NOT FOUND; PO LIOF CT 2 FA VD INC + 2 FA DIL X 3.0 ML; NO_ACR
1121303240029; BETALOR; BETALOR; NOT FOUND; 5 MG + 25 MG COM CT 2 BL AL PLAST AMB X 15; NO_ACR
1121303240045; BETALOR; BETALOR; NOT FOUND; 5 MG + 50 MG COM CT 2 BL AL PLAST AMB X 15; NO_ACR
1121303240101; BETALOR; BETALOR; NOT FOUND; 5.0 MG (COM REV) + 50 MG (GRAN) CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
1121303240096; BETALOR; BETALOR; NOT FOUND; 5.0 MG (COM REV) + 25 MG (GRAN) CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
1068900050025; BACTODERM; BACTODERM; NOT FOUND; 5.0 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; NO_ACR
1092201700015; BRACIMICIN; BRACIMICIN; NOT FOUND; POM BG C/ 15 G; NO_ACR
1068900050033; BACTODERM; BACTODERM; NOT FOUND; 5.0 MG/G + 250 UI/G POM DERM CT BG AL X 50 G; NO_ACR
1010702950011; BENLYSTA; BENLYSTA; NOT FOUND; 120 MG PO LIOF INJ CT FA VD INC ; NO_ACR
1010702950028; BENLYSTA; BENLYSTA; NOT FOUND; 400 MG PO LIOF INJ CT FA VD INC ; NO_ACR
1027000540017; BENZATRON; BENZATRON; NOT FOUND; 1200000 U CX C/ 1 FA + DIL X 5 ML; NO_ACR
1027000540025; BENZATRON; BENZATRON; NOT FOUND; 1.200.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL X 4 ML (EMB. HOSP); NO_ACR
1027000540033; BENZATRON; BENZATRON; NOT FOUND; 600000 U CX C/ 1 FA + DIL X 5 ML; NO_ACR
1027000540041; BENZATRON; BENZATRON; NOT FOUND; 600.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL X 4 ML (EMB HOSP); NO_ACR
1027000540118; BENZATRON; BENZATRON; NOT FOUND; 1.200.000 UI PO INJ CT FA VD INC + AMP DIL PLAS X 5 ML; NO_ACR
1027000540053; BENZATRON; BENZATRON; NOT FOUND; 1.200.000 UI PO INJ CT FA VD INC + AMP DIL X 5 ML; NO_ACR
1027000540101; BENZATRON; BENZATRON; NOT FOUND; 1.200.000 UI PO INJ CX 100 FA VD INC (EMB. HOSP.); NO_ACR
1027000540126; BENZATRON; BENZATRON; NOT FOUND; 1.200.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML (EMB. HOSP.); NO_ACR
1027000540061; BENZATRON; BENZATRON; NOT FOUND; 1.200.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL X 5 ML (EMB. HOSP.); NO_ACR
1027000540134; BENZATRON; BENZATRON; NOT FOUND; 600.000 UI PO INJ CT FA VD INC + AMP DIL PLAS X 5 ML; NO_ACR
1027000540071; BENZATRON; BENZATRON; NOT FOUND; 600.000 UI PO INJ CT FA VD INC + AMP DIL X 5 ML; NO_ACR
1027000540096; BENZATRON; BENZATRON; NOT FOUND; 600.000 UI PO INJ CX 100 FA VD INC (EMB. HOSP.) ; NO_ACR
1027000540142; BENZATRON; BENZATRON; NOT FOUND; 600.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS  X 5 ML(EMB. HOSP.) ; NO_ACR
1027000540088; BENZATRON; BENZATRON; NOT FOUND; 600.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL X 5 ML (EMB. HOSP.); NO_ACR
1018300070010; BENZ.PENIC.BENZ.; BENZ PENIC BENZ; NOT FOUND; 1.200.000CX. 5O FR.AMP+DILUENTES; NO_ACR
1018300070029; BENZ.PENIC.BENZ.; BENZ PENIC BENZ; NOT FOUND; 600.000 CX. 5O FR.AMP+DILUENTES; NO_ACR
1376400870147; BENZILPEN; BENZILPEN; NOT FOUND; 5000000 UI PO SOL INJ CT 50 FA VD INC + DIL X 5 ML ; NO_ACR
1376400870236; BENZILPEN; BENZILPEN; NOT FOUND; 10000000 UI PO SOL INJ CT 25 FA VD INC; NO_ACR
1376400870228; BENZILPEN; BENZILPEN; NOT FOUND; 10000000 UI PO SOL INJ CT 5 FA VD INC; NO_ACR
1376400870211; BENZILPEN; BENZILPEN; NOT FOUND; 10000000 UI PO SOL INJ CT FA VD INC; NO_ACR
1376400870201; BENZILPEN; BENZILPEN; NOT FOUND; 5000000 UI PO SOL INJ CT 100 FA VD INC; NO_ACR
1376400870181; BENZILPEN; BENZILPEN; NOT FOUND; 5000000 UI PO SOL INJ CT 25 FA VD INC; NO_ACR
