1103901150033; FURP-DESMOPRESSINA; FURP DESMOPRESSINA; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB X 5ML + CAN; NO_ACR
1127000080039; FONTO-VIT E; FONTO VIT E; NOT FOUND; FR C/25 CAPS.-1000 UI; NO_ACR
1127000080040; FONTO-VIT E; FONTO VIT E; NOT FOUND; FR C/50 CAPS.-400 UI; NO_ACR
1060300150036; FOL SANG; FOL SANG; NOT FOUND; CX. C/10 AMP. X 2 ML.; NO_ACR
1064601230010; FEMIGESTROL; FEMIGESTROL; NOT FOUND; 160 MG COM CT BL AL PLAS INC X 30; NO_ACR
1120900830014; FUNED-ALBENDAZOL; FUNED ALBENDAZOL; NOT FOUND; 200 MG COM CX 150 ENV KRAFT POLIET X 2; NO_ACR
1002900160014; FOSAMAX; FOSAMAX; NOT FOUND; 10 MG COM CT BL AL / PVC OPC X 15; NO_ACR
1002900160022; FOSAMAX; FOSAMAX; NOT FOUND; 10 MG COM CT BL AL / PVC OPC X 30; NO_ACR
1002900160049; FOSAMAX; FOSAMAX; NOT FOUND; 70 MG COM CT BL AL / PVC OPC X 4; NO_ACR
1002901650023; FOSAMAX D; FOSAMAX D; NOT FOUND; 70 MG + 2800 UI COM CT BL AL AL X 4; NO_ACR
1002901800025; FOSAMAX D; FOSAMAX D; NOT FOUND; 70 MG/5600 UI COM CT BL AL AL X 4; NO_ACR
1103900010041; FURP-AMINOFILINA; FURP AMINOFILINA; NOT FOUND; 100 MG COM CX 25 BL AL PLAS INC X 20 (EMB. HOSP.); NO_ACR
1103901300086; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 150 ML (EMB. HOSP); NO_ACR
1103901300078; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); NO_ACR
1103901300108; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR 30 FR VD AMB X 150 ML (EMB HOSP); NO_ACR
1103901300035; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 500 MG CAP GEL DURA CX 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
1103901300094; FURP-AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 500 MG CAP  GEL DURA CX 50 BL AL PLAS INC X 7 (EMB HOSP); NO_ACR
1103901300124; FURP - AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR PACK 50 FR VD AMB X 150 ML (EMB. HOSP) ; NO_ACR
1103901300132; FURP - AMOXICILINA; FURP AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS OR CX 30 FR VD AMB X 150 ML (EMB HOSP); NO_ACR
1103900240041; FURP-AMPICILINA; FURP AMPICILINA; NOT FOUND; 250 MG/5 ML CX C/ 50 FRASCOS DE VIDRO C/ P/ 60 ML; NO_ACR
1103900240187; FURP-AMPICILINA; FURP AMPICILINA; NOT FOUND; 500 MG CX C/ 50 BLISTERES INCOLOR C/ 10 CAPSULAS; NO_ACR
1103900240101; FURP-AMPICILINA; FURP AMPICILINA; NOT FOUND; 200 MG/ML PO INJ CX 50 FA VD INC + DIL CX 50 AMP VD INC X 5 ML (EMB. HOSP); NO_ACR
1103900240098; FURP-AMPICILINA; FURP AMPICILINA; NOT FOUND; 100 MG/ML PO INJ CX 50 FA VD INC + DIL CX 50 AMP VD INC X 5 ML ( EMB. HOSP); NO_ACR
1103901580011; FURP-ATENOLOL; FURP ATENOLOL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); NO_ACR
1103901580021; FURP-ATENOLOL; FURP ATENOLOL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 560 (EMB HOSP); NO_ACR
1103901070013; FURP-AZATIOPRINA; FURP AZATIOPRINA; NOT FOUND; 50 MG COM CX 50 ENV AL POLIET X 10 (EMB HOSP); NO_ACR
1120901070013; FUNED-NEOMICINA+BACITRACINA; FUNED NEOMICINA BACITRACINA; NOT FOUND; 5 MG/ 250 UI POM DERM CX 50 BG AL X 10 G; NO_ACR
1103900940022; FURP-BENZILPENICILINA BENZATINA; FURP BENZILPENICILINA BENZATINA; NOT FOUND; 1200000 UI PO INJ CX 50 FA VD INC + DIL CX 50 AMP X 5 ML (EMB HOSP); NO_ACR
1103900940014; FURP-BENZILPENICILINA BENZATINA; FURP BENZILPENICILINA BENZATINA; NOT FOUND; 600000 UI PO INJ CX 50 FA VD INC + DIL CX 50 AMP X 5 ML (EMB HOSP); NO_ACR
1103900940081; FURP-BENZILPENICILINA BENZATINA; FURP BENZILPENICILINA BENZATINA; NOT FOUND; 600000 UI PO INJ CX 50 FA VD TRANS  (EMB HOSP); NO_ACR
1103900940073; FURP-BENZILPENICILINA BENZATINA; FURP BENZILPENICILINA BENZATINA; NOT FOUND; 1200000 UI PO INJ  CX 50 FA VD TRANS ( EMB HOSP); NO_ACR
1103901130032; FURP-BENZILPENICILINA PROCAÍNA + BENZILPENICILINA POTÁSSICA; FURP BENZILPENICILINA PROCAINA BENZILPENICILINA POTASSICA; NOT FOUND; 300.000 UI + 100.000 UI PO INJ CX 50 FA VD INC + DIL CX 50 AMP X 2 ML (EMB HOSP); NO_ACR
1103901130040; FURP-BENZILPENICILINA PROCAINA + BENZILPENICILINA POTASSICA; FURP BENZILPENICILINA PROCAINA BENZILPENICILINA POTASSICA; NOT FOUND; 300.000 UI + 100.000 UI PO INJ CX 50 FA VD TRANS (EMB HOSP) ; NO_ACR
1103901130016; FURP-BENZILPENICILINA; FURP BENZILPENICILINA; NOT FOUND; (300000+100000) UI PO INJ CX 50 FA VD INC+DIL CX 50 AMPX5 ML(EMB HOSP); NO_ACR
1092200290026; FILOGARGAN; FILOGARGAN; NOT FOUND; SOL ORAL FR C/ 30 ML; NO_ACR
1092200290012; FILOGARGAN; FILOGARGAN; NOT FOUND; PAST CX C/ 12; NO_ACR
1168800060017; FARMACART; FARMACART; NOT FOUND; PO SECO HD BIC SACO PLAS X 840 G; NO_ACR
1168800060025; FARMACART; FARMACART; NOT FOUND; PO SECO HD BIC FR PLAS X 720 G; NO_ACR
1168800060033; FARMACART; FARMACART; NOT FOUND; PO SECO HD BIC FR PLAS X 900 G; NO_ACR
