74965; PASSIENE ; PASSIENE; NOT FOUND; XAR. 75 MG 120 ML x 1 (/ML); HBA
50627; PRIMORIS ; PRIMORIS; NOT FOUND; CAPS x 15; HBA
50628; PRIMORIS ; PRIMORIS; NOT FOUND; CAPS x 45; HBA
140525; PROBIOVIT ; PROBIOVIT; NOT FOUND; CPR 20+20 x 40; HBA
57169; PROPOLIS ; PROPOLIS; NOT FOUND; XAROPE 30 ML x 1; HBA
72885; PROPOLIS ENXOFRE ; PROPOLIS ENXOFRE; NOT FOUND; SABAO 100 G x 1; HBA
57168; PROPOLIX ; PROPOLIX; NOT FOUND; GEL. 2.50 % 20 G x 1; HBA
57171; PROPOLIX ; PROPOLIX; NOT FOUND; SOLN 30 ML x 1; HBA
57172; PROPOLIX ; PROPOLIX; NOT FOUND; SPRAY 30 ML x 1; HBA
78125; PROSTATAL ; PROSTATAL; NOT FOUND; CAPS 160 MG x 15; HBA
57170; PROSTATAL ; PROSTATAL; NOT FOUND; CAPS 160 MG x 30; HBA
