66855, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, BF8

66279, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, BF8

60534, PRILCOR , PRILCOR, NOT FOUND, CPR REVEST 20 MG x 30, E3S

70012, PANTEVIT , PANTEVIT, NOT FOUND, SH.SECOS 200 ML x 1, E3S

55391, PENVIR , PENVIR, NOT FOUND, CPR REVEST 125 MG x 10, E3S

59104, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, E3S

140253, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 42, E3S

71479, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 500 MG 5 G x 25, E3S

82906, PLAQUEVIX , PLAQUEVIX, NOT FOUND, CPR REV . 75 MG x 14, E3S

63162, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 7, E3S

60461, POLICLAVUMOXIL , POLICLAVUMOXIL, NOT FOUND, SUSP 250 MG 75 ML x 1 (/5ML), E3S

92358, PATZ SL , PATZ SL, NOT FOUND, CPR SL 5 MG x 20, E3S

69785, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 500 MG x 200, E3S

51514, PROPRANOLOL , PROPRANOLOL, PROPRANOLOL, CPR 40 MG x 30, E3S

53285, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 750 MG x 10, E3S

66550, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), E3S

69968, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 60, E3S

70487, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 60, E3S

66549, PREVIDEZ 2 , PREVIDEZ 2, NOT FOUND, CPR 0.75 MG x 2, E3S

57160, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), E3S

56753, PENVIR , PENVIR, NOT FOUND, CPR REVEST 500 MG x 21, E3S

92360, PHASTER , PHASTER, NOT FOUND, AERO 11.6 MG 60 G x 1 (/G), E3S

69704, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 60, E3S

56752, PENVIR LABIA , PENVIR LABIA, NOT FOUND, CREME 5 G x 1, E3S

63665, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, E3S

62272, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, E3S

77280, PRAZY , PRAZY, NOT FOUND, CPR REVEST 20 MG x 28, E3S

63191, PRILCOR , PRILCOR, NOT FOUND, CPR REVEST 30 MG x 20, E3S

108720, PHASTER , PHASTER, NOT FOUND, GEL CREME 11.6 MG 60 G x 1 (/G), E3S

60722, PREM , PREM, NOT FOUND, CPR REVEST 0.625 MG x 60, E3S

73574, PARACET+CAFEINA MG , PARACET CAFEINA, NOT FOUND, CPR REVEST x 20, E3S

67742, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, SOLN CAPIL 0.50 MG 50 G x 1 (/G), E3S

105446, PATZ SL , PATZ SL, NOT FOUND, CPR SL 5 MG x 30, E3S

67996, PIROXICAM GEL MG , PIROXICAM GEL, NOT FOUND, GEL. 5 MG 30 G x 1 (/G), E3S

73130, PARACETA+PSEUDO MG , PARACETA PSEUDO, NOT FOUND, CPR REVEST 500 MG x 24 (/30), E3S

62271, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, E3S

51513, PROPRANOLOL , PROPRANOLOL, PROPRANOLOL, CPR 10 MG x 30, E3S

71478, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS BEBE 100 MG 15 ML x 1 (/ML), E3S

70618, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, E3S

77281, PRAZY , PRAZY, NOT FOUND, CPR REVEST 40 MG x 28, E3S

64414, PREG-LESS , PREG LESS, NOT FOUND, A.IM RETARD 1 ML x 1, E3S

60856, POLICLAVUMOXIL BD , POLICLAVUMOXIL BD, NOT FOUND, CPR REVEST 875 MG x 12 (/125), E3S

69784, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 500 MG x 100, E3S

69967, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 30, E3S

89934, PREDNISOLONA MG , PREDNISOLONA, PREDNISOLONA, CPR 20 MG x 10, E3S

63664, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, E3S

