511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511100901112415, BEVIT, BEVIT, NOT FOUND, DRG CX C/ 20, HBF
511100902119413, BEVIT, BEVIT, NOT FOUND, DRG CX C/ 60, HBF
511100903131417, BEVIT, BEVIT, NOT FOUND, XPE FR C/ 100 ML, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, SUSP ORAL FR C/ 100 ML, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, 1.5MG+7.5MG+7.5MG+10.0MG+0.5MG+0.1MG+1.0MG+1.5MG+1.0MG/ML SUS OR CT FR VD AMB X 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
511101201130419, BUCLITINA, BUCLITINA, NOT FOUND, 1.5MG+7.5MG+7.5MG+10.0MG+0.5MG+0.1MG+1.0MG+1.5MG+1.0MG/ML SUS OR CT FR VD AMB X 100 ML, HBF
511100701113418, BECEVIT, BECEVIT, NOT FOUND, DRG CX C/ 20, HBF
511101001166411, BRACIMICIN, BRACIMICIN, NOT FOUND, POM BG C/ 15 G, HBF
