512600601159413, GLICOCLORETADA, GLICOCLORETADA, NOT FOUND, (9.0 MG + 50 MG) / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML, BA_
512600602155411, GLICOCLORETADA, GLICOCLORETADA, NOT FOUND, (9.0 MG + 50.0 MG) / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, BA_
512601002151413, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML , BA_
512601003158411, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML , BA_
512601004154411, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, BA_
512601001155415, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 125 ML, BA_
512601005150418, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.10 G / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML, BA_
512601006157416, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.10 G / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, BA_
512601007153414, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.10 G / ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, BA_
512600601159413, GLICOCLORETADA, GLICOCLORETADA, NOT FOUND, (9.0 MG + 50 MG) / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML, BA_
512600602155411, GLICOCLORETADA, GLICOCLORETADA, NOT FOUND, (9.0 MG + 50.0 MG) / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, BA_
512601002151413, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML , BA_
512601003158411, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML , BA_
512601004154411, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, BA_
512601001155415, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 125 ML, BA_
512601005150418, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.10 G / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML, BA_
512601006157416, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.10 G / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, BA_
512601007153414, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.10 G / ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, BA_
512600601159413, GLICOCLORETADA, GLICOCLORETADA, NOT FOUND, (9.0 MG + 50 MG) / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML, BA_
512600602155411, GLICOCLORETADA, GLICOCLORETADA, NOT FOUND, (9.0 MG + 50.0 MG) / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, BA_
512601002151413, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML , BA_
512601003158411, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML , BA_
512601004154411, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, BA_
512601001155415, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.05 G / ML SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 125 ML, BA_
512601005150418, GLICOSE ANIDRA BASA , GLICOSE ANIDRA BASA, NOT FOUND, 0.10 G / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML, BA_
