502701201159416, VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA, TÉTANO, VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA TETANO, NOT FOUND, CT 1 SER C/ 1 DOSE DE 0.5 ML, SF2
502703301150417, VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE E POLIOMELITE INATIVADA COMBINADA COM VACINA CONJUGADA COM PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TIPOb, VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE E POLIOMELITE INATIVADA COMBINADA VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TIPOB, NOT FOUND, CT 1 FR AMP C/ 1 DOSE LIOFILIZADA E 1 FR AMP C/ 0.5 ML DE SUS, SF2
502703901158419, VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE, POLIOMIELITE INATIVADA E HAEMOPHILUS INFLUENZAE TIPO B (CONJUGADO COM PROTEÍNA TETÂNICA), VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE POLIOMIELITE INATIVADA E HAEMOPHILUS INFLUENZAE TIPO B CONJUGADO PROTEINA TETANICA, NOT FOUND, SUS INJ [IM] CT FA VD INC X 0.5 ML, SF2
502701401158413, VACINA ADSORIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE, VACINA ADSORIDA CONTRA DIFTERIA TETANO COQUELUCHE, NOT FOUND, CARTUCHO DE 1 SERINGA COM 1 DOSE DE 0.5 ML., SF2
502703001157416, VACINA ADSORVIDA CONTRA DIFTERIA , TETANO, COQUELUCHE ACELULAR, POLIOMIELITE INATIVADA, HEPATITE B ( RECOMBINANTE ) E HAEMOPHILUS INFLUENZA TIPO B CONJUGADO, VACINA ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE ACELULAR POLIOMIELITE INATIVADA HEPATITE B RECOMBINANTE E HAEMOPHILUS INFLUENZA TIPO B CONJUGADO, NOT FOUND, CT 1 SER C/ 1 DOSE DE 0.5 ML, SF2
502701301153411, VACINA ADSORVIDA CONTRA DIFTERIA E TÉTANO (DUPLA Infantil), VACINA ADSORVIDA CONTRA DIFTERIA E TETANO DUPLA INFANTIL, NOT FOUND, CARTUCHO DE 1 SERINGA COM 1 DOSE DE 0.5 ML., SF2
502703701159314, VACINA ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE ACELULAR E POLIOMIELITE INATIVADA, VACINA ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE ACELULAR E POLIOMIELITE INATIVADA, NOT FOUND, SUS INJ CT SER PRE-ENCH X 0.5 ML, SF2
502701501152417, VACINA ANTI-RÁBICA HUMANA PREPARADA SOBRE CÉLULAS VERO, VACINA ANTI RABICA HUMANA PREPARADA SOBRE CELULAS VERO, NOT FOUND, CARTUCHO DE 1 FR DE 1 DOSE LIOFILIZADA E 1 SERINGA C/0.5 ML DE DILUENTE, SF2
502703501151417, VACINA CONJUGADA COM PROTEÍNA TETÂNICA CONTRA HAEMOPHILUS INFLUENZAE TPO B, VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TPO B, NOT FOUND, CARTUCHO DE 1 FR. COM 1 DOSE LIOFILIZADA E 1 SERINGA C/0.5 ML DE DILUENTE, SF2
502701701151414, VACINA CONTRA A POLIOMIELITE (virus inativados), VACINA CONTRA A POLIOMIELITE VIRUS INATIVADOS, NOT FOUND, CARTUCHO DE 1 AMP COM 1 DOSE IMUNIZANTE (0.5 ML), SF2
502701801156418, VACINA CONTRA CAXUMBA (Virus Atenuados), VACINA CONTRA CAXUMBA VIRUS ATENUADOS, NOT FOUND, CARTUCHO DE 1 FR DE 1 DOSE LIOFILIZADA E 1 SERINGA C/0.5 ML DE DILUENTE, SF2
502704001150411, VACINA CONTRA FEBRE AMARELA (VÍRUS ATENUADOS), VACINA CONTRA FEBRE AMARELA VIRUS ATENUADOS, NOT FOUND, CARTUCHO CONTENDO 1 FRASCO-AMPOLA COM 1 DOSE LIOFILIZADA + 1 SERINGA COM 0.5 ML DE DILUENTE, SF2
502703801153318, VACINA CONTRA FEBRE TIFÓIDE (POLISSACARÍDICA CAPSULAR VI), VACINA CONTRA FEBRE TIFOIDE POLISSACARIDICA CAPSULAR VI, NOT FOUND, SUS INJ CT SER PRE-ENCH X 0.5 ML 01 , SF2
502701902157411, VACINA CONTRA GRIPE, VACINA CONTRA GRIPE, NOT FOUND, (Virus fragmentado e inativado) CT 1 FR AMP C/ 10 DOSES DE 0.5 ML, SF2
502701905156414, VACINA CONTRA GRIPE, VACINA CONTRA GRIPE, NOT FOUND, (Virus fragmentado e inativado) CT 1 SER C/ 1 DOSE DE 0.25 ML, SF2
502701903153418, VACINA CONTRA GRIPE, VACINA CONTRA GRIPE, NOT FOUND, (Virus fragmentado e inativado) CT 1 SER C/ 1 DOSE DE 0.5 ML, SF2
