527907101112416; ESCOPEN COMPOSTO; ESCOPEN COMPOSTO; NOT FOUND; 10MG + 250MG COMP REV CT BL AL PLAS INC X 250; P7B
527901801112411; EMEBRID; EMEBRID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 400; P7B
527903901114410; ESCOPEN COMPOSTO; ESCOPEN COMPOSTO; NOT FOUND; 10MG + 250MG COMP REV CT BL AL PLAS INC X 20; P7B
527901901117413; ENAPLEX; ENAPLEX; NOT FOUND; 10 MG COM CT ENV AL POLIET X 30; P7B
527901904116418; ENAPLEX; ENAPLEX; NOT FOUND; 20 MG COM CT ENV AL POLIET X 30; P7B
527901704117410; ELPRAZOL; ELPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28 ; P7B
527912120019003; ELPRAZOL; ELPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 56 ; P7B
527912120019103; ELPRAZOL; ELPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 56; P7B
527901705113419; ELPRAZOL; ELPRAZOL; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; P7B
527901601113420; ELCODRIX; ELCODRIX; NOT FOUND; 500MG COM VER CT BL 3X4; P7B
527901602111413; ELCODRIX; ELCODRIX; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS INC X 120; P7B
