512404102171310; SOLARCAINE; SOLARCAINE; NOT FOUND; 0.5 PCC LOC FR PLAS OPC X 120 ML; MQF
512404101173311; SOLARCAINE; SOLARCAINE; NOT FOUND; 2.8 PCC AER TB AL X 120 G; MQF
512404201119317; SPOROSTATIN; SPOROSTATIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 20; MQF
512404005131415; SCAFLAM; SCAFLAM; NOT FOUND; 10 MG/ML SUS OR CT FR VD AMB X 60 ML + CP DOSEADOR; MQF
512404003139419; SCAFLAM; SCAFLAM; NOT FOUND; 100 MG GRAN CT 12 ENV AL X 2 G; MQF
512404001111411; SCAFLAM; SCAFLAM; NOT FOUND; 100 MG COM CT BL AL PLAS X 12; MQF
512404007118416; SCAFLAM; SCAFLAM; NOT FOUND; 100 MG COM CT BL AL PLAS X 4; MQF
512404008114414; SCAFLAM; SCAFLAM; NOT FOUND; 100 MG GRAN CT 8 ENV AL X 2 G; MQF
512404009161416; SCAFLAM; SCAFLAM; NOT FOUND; 30 MG/G GEL CT BG AL X 10 G; MQF
512404006162314; SCAFLAM; SCAFLAM; NOT FOUND; 30 MG/G GEL CT BG AL X 30 G; MQF
512404002132410; SCAFLAM; SCAFLAM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS TRANSP X 15 ML; MQF
512406203119418; SECSIM; SECSIM; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 4  ; MQF
