512406402111417; PROCSIM; PROCSIM; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; MQF
512406401115419; PROCSIM; PROCSIM; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; MQF
512406403118415; PROCSIM; PROCSIM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; MQF
512406404114413; PROCSIM; PROCSIM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; MQF
512403606131314; PREDSIM; PREDSIM; NOT FOUND; 11 MG/ML CT FR PLAS OPC GOT X 15ML; MQF
512403607138312; PREDSIM; PREDSIM; NOT FOUND; 11 MG/ML CT FR PLAS OPC GOT X 20ML; MQF
512403601113415; PREDSIM; PREDSIM; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; MQF
512403604139415; PREDSIM; PREDSIM; NOT FOUND; 3 MG/ML SOL OR CT FR PET AMB X 100 ML + PIPETA DOSADORA; MQF
512403608134418; PREDSIM; PREDSIM; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS TRANS X 30 ML + PIPETA DOSADORA; MQF
512403605135413; PREDSIM; PREDSIM; NOT FOUND; 3 MG/ML SOL OR CT FR PET AMB X 60 ML +PIPETA DOSADORA; MQF
512403602111416; PREDSIM; PREDSIM; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 10; MQF
512403603116411; PREDSIM; PREDSIM; NOT FOUND; 5 MG COM CT 2 BL AL PLAS INC X 10; MQF
512403502131318; POLARAMINE EXPECTORANTE; POLARAMINE EXPECTORANTE; NOT FOUND; 0.40 MG/ML + 4.00 MG/ML + 20.0 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR; MQF
512403503138316; POLARAMINE; POLARAMINE; NOT FOUND; 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + DOS; MQF
512403505165310; POLARAMINE; POLARAMINE; NOT FOUND; 10 MG / G CREM DERM CT BG AL X 30 G; MQF
512403501119314; POLARAMINE; POLARAMINE; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20; MQF
512403512110313; POLARAMINE; POLARAMINE; NOT FOUND; 2 MG COM BL AL PLAS INC X 6; MQF
512403506171314; POLARAMINE; POLARAMINE; NOT FOUND; 2.8 MG/ML SOL OR CT FR PLAS OPC X 20 ML ; MQF
512403504118319; POLARAMINE; POLARAMINE; NOT FOUND; 6 MG DRG (REPETABS) CT BL AL PLAST INC X 12; MQF
512406901134323; PRATIUM; PRATIUM; NOT FOUND; 140 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; MQF
512406902130410; PRATIUM; PRATIUM; NOT FOUND; 500 MG PO PREP EXTEMP 1 ENV AL PET X 5 G (MEL E LIMAO); MQF
512412120025303; PREDSIM; PREDSIM; NOT FOUND; 40 MG COM CT BL AL PVC INC X 4; MQF
512412120025403; PREDSIM; PREDSIM; NOT FOUND; 40 MG COM CT BL AL PVC INC X 7; MQF
