512400401164313, CALMINEX, CALMINEX, NOT FOUND, ATLETA BISN C/ 20 G, MQF
512400402160311, CALMINEX, CALMINEX, NOT FOUND, HUMANO 20 G BG, MQF
512400603131319, CELESTAMINE, CELESTAMINE, NOT FOUND, 0.25 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , MQF
512400601112317, CELESTAMINE, CELESTAMINE, NOT FOUND, BL C/20 COMP, MQF
512400602135310, CELESTAMINE, CELESTAMINE, NOT FOUND, XPE FR 120 ML, MQF
512400703136312, CELESTONE, CELESTONE, NOT FOUND, 0.1 MG/ML ELX CT FR VD AMB X 120 ML , MQF
512400701117310, CELESTONE, CELESTONE, NOT FOUND, COMP 0.5 MG BL C/ 20, MQF
512400702113319, CELESTONE, CELESTONE, NOT FOUND, COMP 2 MG BL C/ 10, MQF
512400704132310, CELESTONE, CELESTONE, NOT FOUND, GTS FR C/ 15 ML, MQF
512400705155314, CELESTONE, CELESTONE, NOT FOUND, INJ - 1 AMP, MQF
512400706151312, CELESTONE, CELESTONE, NOT FOUND, SOLUSPAN - 1 AMP, MQF
512400801111411, CELEXIN, CELEXIN, NOT FOUND, 500 MG 1 BL AL PL C/8 CAPS, MQF
512406301110415, CIBRATO, CIBRATO, NOT FOUND, 100MG COM CT BL AL PLAS INC X 10, MQF
512406302117413, CIBRATO, CIBRATO, NOT FOUND, 100MG COM CT BL AL PLAS INC X 30, MQF
512405502112417, CIZAX, CIZAX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 10, MQF
512405501116419, CIZAX, CIZAX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 30, MQF
512405504115413, CIZAX, CIZAX, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 10, MQF
512405503119415, CIZAX, CIZAX, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, MQF
512400901116318, CLARITIN, CLARITIN, NOT FOUND, COMP BL C/ 12, MQF
512400903119314, CLARITIN, CLARITIN, NOT FOUND, D 24 HS BLISTER C/6 COM, MQF
512400904115312, CLARITIN, CLARITIN, NOT FOUND, D CT C/12 DRG, MQF
512400905138316, CLARITIN, CLARITIN, NOT FOUND, D XPE FR C/ 60 ML, MQF
512400906134314, CLARITIN, CLARITIN, NOT FOUND, XPE FR C/ 100 ML, MQF
512400401164313, CALMINEX, CALMINEX, NOT FOUND, ATLETA BISN C/ 20 G, MQF
512400402160311, CALMINEX, CALMINEX, NOT FOUND, HUMANO 20 G BG, MQF
512400603131319, CELESTAMINE, CELESTAMINE, NOT FOUND, 0.25 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , MQF
512400601112317, CELESTAMINE, CELESTAMINE, NOT FOUND, BL C/20 COMP, MQF
512400602135310, CELESTAMINE, CELESTAMINE, NOT FOUND, XPE FR 120 ML, MQF
