512400301119413, APRAZ, APRAZ, NOT FOUND, 0.25 MG COM CT BL AL PLAS INC X 20, MQF
512400305114416, APRAZ, APRAZ, NOT FOUND, 0.25 MG COM CT BL AL PLAS INC X 30, MQF
512400302115411, APRAZ, APRAZ, NOT FOUND, 0.5 MG COM CT BL AL PLAS INC X 20, MQF
512400306110414, APRAZ, APRAZ, NOT FOUND, 0.5 MG COM CT BL AL PLAS INC X 30, MQF
512400303111411, APRAZ, APRAZ, NOT FOUND, 1.0 MG COM CT BL AL PLAS INC X 20, MQF
512400307117412, APRAZ, APRAZ, NOT FOUND, 1.0 MG COM CT BL AL PLAS INC X 30, MQF
512400304118418, APRAZ, APRAZ, NOT FOUND, 2.0 MG COM CT BL AL PLAS INC X 20, MQF
512400308113410, APRAZ, APRAZ, NOT FOUND, 2.0 MG COM CT BL AL PLAS INC X 30, MQF
512400105174318, AFRIN SALINE MIST, AFRIN SALINE MIST, NOT FOUND, 6.5 MG/ML+0.25 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 30 ML, MQF
512400103171311, AFRIN, AFRIN, NOT FOUND, 0.250 MG SOL OFT CT FR PLAS OPC SPR X 20 ML  , MQF
512400104178311, AFRIN, AFRIN, NOT FOUND, 0.250 MG SOL NAS CT FR PLAS OPC GOT X 20 ML , MQF
512400101179315, AFRIN, AFRIN, NOT FOUND, 0.5 MG SOL NAS CT FR PLAS OPC SPR X 10 ML , MQF
512400102175313, AFRIN, AFRIN, NOT FOUND, 0.5 MG SOL NAS CT FR PLAS OPC SPR X 30 ML , MQF
512400206132319, ALIVIUM, ALIVIUM, NOT FOUND, 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML, MQF
512400207139325, ALIVIUM, ALIVIUM, NOT FOUND, 30 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SERINGA DOSADORA, MQF
512400210131313, ALIVIUM, ALIVIUM, NOT FOUND, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, MQF
512400201130326, ALIVIUM, ALIVIUM, NOT FOUND, 50 MG/ML SUS OR CT FR PLAS OPC X 30 ML, MQF
512400204113414, ALIVIUM, ALIVIUM, NOT FOUND, 600 MG COM REV CT 1 BL AL PLAS INC X 10, MQF
512400203117416, ALIVIUM, ALIVIUM, NOT FOUND, 600 MG COM REV BL AL PLAS INC X 4, MQF
