1009300010043; PEGINTRON; PEGINTRON; NOT FOUND; 80 MCG/0.5 ML CT FA VD INC + AMP DIL 0.7ML; MQF
1009300010078; PEGINTRON; PEGINTRON; NOT FOUND; 100 MCG/0.5 ML CT FA VD INC + AMP DIL 0.7ML; MQF
1009300010108; PEGINTRON; PEGINTRON; NOT FOUND; 120 MCG/0.5 ML CT FA VD INC + AMP DIL 0.7ML; MQF
1009300010132; PEGINTRON; PEGINTRON; NOT FOUND; 222 MCG PO LIOF SOL INJ CT FA VD INC + AMP DIL 0.7ML APOS REC 150 MCG/0.5 ML; MQF
1009300010167; PEGINTRON REDIPEN; PEGINTRON REDIPEN; NOT FOUND; 67.5 MG PO LIOF SOL INJ CT 1 SER DUPLO COMPART + DIL X 0.66 ML APOS REC 50 MCG/0.5 ML; MQF
1009300010191; PEGINTRON REDIPEN; PEGINTRON REDIPEN; NOT FOUND; 108 MG PO LIOF SOL INJ CT 1 SER DUPLO COMPART + DIL X 0.66 ML APOS REC 80 MCG/0.5 ML; MQF
1009300010221; PEGINTRON REDIPEN; PEGINTRON REDIPEN; NOT FOUND; 135 MG PO LIOF SOL INJ CT 1 SER DUPLO COMPART + DIL X 0.66 ML APOS REC 100 MCG/0.5 ML; MQF
1009300010256; PEGINTRON REDIPEN; PEGINTRON REDIPEN; NOT FOUND; 162 MG PO LIOF SOL INJ CT 1 SER DUPLO COMPART + DIL X 0.66 ML APOS REC 120 MCG/0.5 ML; MQF
1009300010280; PEGINTRON REDIPEN; PEGINTRON REDIPEN; NOT FOUND; 202.5 MG PO LIOF SOL INJ CT 1 SER DUPLO COMPART + DIL X 0.66 ML APOS REC 150 MCG/0.5 ML; MQF
1009302550037; PROCSIM; PROCSIM; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; MQF
1009302550045; PROCSIM; PROCSIM; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; MQF
1009302550088; PROCSIM; PROCSIM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; MQF
1009302550071; PROCSIM; PROCSIM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; MQF
1009300180075; PROCIN; PROCIN; NOT FOUND; 250 MG 2 BL C/ 7; MQF
1009300180067; PROCIN; PROCIN; NOT FOUND; 250 MG BL C/6; MQF
1009300180186; PROCIN; PROCIN; NOT FOUND; 500 MG BL C/ 6; MQF
1009302700039; PRIVITUSS; PRIVITUSS; NOT FOUND; 7.08 MG/ML SUS OR CT FR PLAS AMB X 80 ML + SER DOS SBR FRUTAS VERMELHAS; MQF
1009302700047; PRIVITUSS; PRIVITUSS; NOT FOUND; 7.08 MG/ML SUS OR CT FR PLAS AMB X 120 ML + SER DOS SBR FRUTAS VERMELHAS; MQF
1009302700012; PRIVITUSS; PRIVITUSS; NOT FOUND; 7.08 MG/ML SUS OR CT FR PLAS AMB X 15 ML + SER DOS SBR FRUTAS VERMELHAS; MQF
1009302700020; PRIVITUSS; PRIVITUSS; NOT FOUND; 7.08 MG/ML SUS OR CT FR PLAS AMB X 30 ML + SER DOS SBR FRUTAS VERMELHAS; MQF
1009302700055; PRIVITUSS; PRIVITUSS; NOT FOUND; 7.08MG/ML SUS OR CT FR PLAS AMB X 120 ML + SER DOSAD SBR BANANA; MQF
1009302070035; PREDSIM; PREDSIM; NOT FOUND; 3 MG/ML SOL OR CT FR PET AMB X 100 ML + PIPETA DOSADORA; MQF
1009302070027; PREDSIM; PREDSIM; NOT FOUND; 3 MG/ML SOL OR CT FR PET AMB X 60 ML +PIPETA DOSADORA; MQF
1009302570021; PREDSIM; PREDSIM; NOT FOUND; 11 MG/ML CT FR PLAS OPC GOT X 15ML; MQF
1009302570011; PREDSIM; PREDSIM; NOT FOUND; 11 MG/ML CT FR PLAS OPC GOT X 20ML; MQF
1009302070132; PREDSIM; PREDSIM; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS TRANS X 30 ML + PIPETA DOSADORA; MQF
