1009300200106; CELESTONE; CELESTONE; NOT FOUND; 4 MG/ML SOL INJ CT CAMA AMP VD INC X 1 ML; MQF
1009301230025; CELESTONE; CELESTONE; NOT FOUND; 3.0 MG/ML + 3.945 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML ; MQF
1009300200241; CELESTONE; CELESTONE; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; MQF
1009300200041; CELESTONE; CELESTONE; NOT FOUND; 0.5 MG/ML SOL OR GTS CT FR VD AMB X 15 ML; MQF
1009300200276; CELESTONE; CELESTONE; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 30 ML; MQF
1009300200171; CELESTONE; CELESTONE; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20; MQF
1009300200025; CELESTONE; CELESTONE; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 10; MQF
1009300200268; CELESTONE; CELESTONE; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 10; MQF
1009300170164; CELESTAMINE; CELESTAMINE; NOT FOUND; 0.05 MG/ML + 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + DOSAD; MQF
1009300170237; CELESTAMINE; CELESTAMINE; NOT FOUND; 0.25 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; MQF
1009300170202; CELESTAMINE; CELESTAMINE; NOT FOUND; 0.05 MG/ML + 0.4 MG/ML XPE CT FR PLAS AMB X 30 ML + DOSAD; MQF
1009300170052; CELESTAMINE; CELESTAMINE; NOT FOUND; 0.25 MG + 2 MG COM CT BL AL PLAS INC X 20; MQF
1009300170199; CELESTAMINE; CELESTAMINE; NOT FOUND; 0.25 MG + 2 MG COM CT BL AL PLAS INC X 10; MQF
1009300170199; CELESTAMINE; CELESTAMINE; NOT FOUND; 0.25 MG + 2 MG COM CT BL AL PLAS INC X 10 ; MQF
1009301250077; CORISTINA R; CORISTINA R; NOT FOUND; 2 MG + 20MG + 30 MG + 320 MG CAP GEL DURA CT BL AL PLAS INC X 12; MQF
1009301260027; CORISTINA D; CORISTINA D; NOT FOUND; 1 MG + 10 MG + 30 MG + 400 MG COM BL AL PLAS INC X 4; MQF
1009301260043; CORISTINA D; CORISTINA D; NOT FOUND; 1 MG + 10 MG + 400 MG + 30 MG COM CT 4 BL AL PLAS INC X 4; MQF
1009302610021; CIBRATO; CIBRATO; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 10; MQF
1009302610013; CIBRATO; CIBRATO; NOT FOUND; 100MG COM CT BL AL PLAS INC X 30 ; MQF
1009302490018; CORISTINA SORO NASAL; CORISTINA SORO NASAL; NOT FOUND; 6.5 MG/ML SOL NAS CT FR PLAS AMB GOT X 30 ML; MQF
1009302530011; CORISTINA SORO ESTÉRIL; CORISTINA SORO ESTERIL; NOT FOUND; 6.5 MG/ML SOL NAS CT FR PLAS OPC SPR X 30 ML; MQF
1009302500080; CIZAX; CIZAX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; MQF
1009302500072; CIZAX; CIZAX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10; MQF
1009302500048; CIZAX; CIZAX; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; MQF
1009302500031; CIZAX; CIZAX; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 10; MQF
1009302500056; CIZAX; CIZAX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 4; MQF
1009302500013; CIZAX; CIZAX; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 4; MQF
1009301980021; CAELYX; CAELYX; NOT FOUND; 2 MG/ML INJ FA VD INC X 10 ML; MQF
1009302620019; CORISTINA DESCONGESTIONANTE NASAL; CORISTINA DESCONGESTIONANTE NASAL; NOT FOUND; 0.5 MG/ML CT FRAS PLAS GOT X 30 ML; MQF
1009301750067; CALMINEX; CALMINEX; NOT FOUND; 4.0 G + 1.36 G + 1.0 G GEL BG X 20 G; MQF
1009301750016; CALMINEX; CALMINEX; NOT FOUND; POM CT BG X 20 G; MQF
1009301690064; CLARITIN; CLARITIN; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 100 ML; MQF
1009301690234; CLARITIN; CLARITIN; NOT FOUND; 1 MG/ML SOL OR CT FR PLAS OPC X 60 ML; MQF
1009302360025; CLARITIN; CLARITIN; NOT FOUND; 5 MG + 120 MG DRG CT BL AL PLAS INC X 6; MQF
1009302360033; CLARITIN D; CLARITIN D; NOT FOUND; 1.0 MG/ML + 12.0 MG/ML XPE CT FR VD AMB X 60 ML; MQF
1009302360051; CLARITIN D; CLARITIN D; NOT FOUND; 1.0 MG/ML + 12.0 MG/ML XPE CT FR VD AMB X 30 ML ; MQF
1111111111102; CLARITIN D; CLARITIN D; NOT FOUND; CONTROLE; MQF
1009302360068; CLARITIN D; CLARITIN D; NOT FOUND; 10 MG + 240 MG COM REV CT BL AL PLAS INC X 06; MQF
1009302360017; CLARITIN D; CLARITIN D; NOT FOUND; 05 MG + 120 MG DRG CT BL AL PLAS INC X 12 ; MQF
1009300550077; CEDRIN; CEDRIN; NOT FOUND; XPE FR C/ 100 ML; MQF
1009300550159; CEDRIN; CEDRIN; NOT FOUND; 0.10 MG/ML XPE FR X 120 ML; MQF
1009300550042; CEDRIN; CEDRIN; NOT FOUND; REPETABS 1X10; MQF
1009302510019; CORISTINA TERMUS; CORISTINA TERMUS; NOT FOUND; 750 MG COM BL AL PVDC X 4; MQF
