1009302020054; APRAZ; APRAZ; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 20; MQF
1009302020062; APRAZ; APRAZ; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20; MQF
1009302020070; APRAZ; APRAZ; NOT FOUND; 1.0 MG COM CT BL AL PLAS INC X 20; MQF
1009302020089; APRAZ; APRAZ; NOT FOUND; 2.0 MG COM CT BL AL PLAS INC X 20; MQF
1009302020097; APRAZ; APRAZ; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 30; MQF
1009302020100; APRAZ; APRAZ; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 30; MQF
1009302020119; APRAZ; APRAZ; NOT FOUND; 1.0 MG COM CT BL AL PLAS INC X 30; MQF
1009302020127; APRAZ; APRAZ; NOT FOUND; 2.0 MG COM CT BL AL PLAS INC X 30; MQF
1009301830011; AFRIN SALINE MIST; AFRIN SALINE MIST; NOT FOUND; 6.5 MG/ML+0.25 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 30 ML; MQF
1234567891011; AFRIN SALINE MIST; AFRIN SALINE MIST; NOT FOUND; CONTROLE; MQF
1009300040028; AFRIN; AFRIN; NOT FOUND; 0.5 MG SOL NAS CT FR PLAS OPC SPR X 10 ML ; MQF
1009300040201; AFRIN; AFRIN; NOT FOUND; 0.5 MG SOL NAS CT FR PLAS OPC SPR X 30 ML ; MQF
1009300040060; AFRIN; AFRIN; NOT FOUND; 0.250 MG SOL OFT CT FR PLAS OPC SPR X 20 ML  ; MQF
1009300040147; AFRIN; AFRIN; NOT FOUND; 0.250 MG SOL NAS CT FR PLAS OPC GOT X 20 ML ; MQF
1009302180051; ALIVIUM; ALIVIUM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC X 30 ML; MQF
1009302180231; ALIVIUM; ALIVIUM; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 30 ML; MQF
1009302180221; ALIVIUM; ALIVIUM; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML; MQF
1009302180272; ALIVIUM; ALIVIUM; NOT FOUND; 30 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SERINGA DOSADORA; MQF
1009302180019; ALIVIUM; ALIVIUM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; MQF
1009302180140; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV CT 1 BL AL PLAS INC X 10; MQF
1009302180183; ALIVIUM; ALIVIUM; NOT FOUND; 600 MG COM REV BL AL PLAS INC X 4; MQF
1009302180191; ALIVIUM; ALIVIUM; NOT FOUND; 600 MG COM REV CT 1 BL AL PLAS INC X 10; MQF
1009302180167; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 4; MQF
1009302180132; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV BL AL PLAS INC X 4; MQF
