1009300300016; DAIVONEX; DAIVONEX; NOT FOUND; POM BG 30 G; MQF
1009302100041; DESALEX; DESALEX; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + DOSADOR; MQF
1009302100082; DESALEX; DESALEX; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + DOSADOR ; MQF
1009302100023; DESALEX; DESALEX; NOT FOUND; 5 MG COM REV CT BL AL PLAS X 10; MQF
1009302100104; DESALEX; DESALEX; NOT FOUND; 5 MG COM REV CT BL AL PLAS X 30; MQF
1009302650041; DESALEX D12; DESALEX D12; NOT FOUND; 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 20; MQF
1009302650031; DESALEX D12; DESALEX D12; NOT FOUND; 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 12; MQF
1009302650023; DESALEX D12; DESALEX D12; NOT FOUND; 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 10; MQF
1009302650015; DESALEX D12; DESALEX D12; NOT FOUND; 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 4; MQF
1009302660045; DRIXI; DRIXI; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOS; MQF
1009302660037; DRIXI; DRIXI; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 50 ML + SER DOS; MQF
1009300330013; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/ML LOC CT FR PLAS OPC X 30 ML; MQF
1009300330234; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/G CREM DERM CT BG AL X 30 G; MQF
1009300330196; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/G POM DERM CT BG AL X 30 G; MQF
1009300330331; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/G CREM DERM CT BG AL X 10 G; MQF
1009300330323; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/G POM DERM CT BG AL X 10 G ; MQF
1009300330315; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/ML LOC CT FR PLAS OPC X 10 ML; MQF
1009300340027; DIPROSPAN; DIPROSPAN; NOT FOUND; 5.0 MG/ML + 2.0 MG/ML SUS INJ CT SER X 1 ML + HASTE + AGULHA; MQF
1009300340019; DIPROSPAN; DIPROSPAN; NOT FOUND; 5.0 MG/ML + 2.0 MG/ML SUS INJ CT AMP VD INC X 1 ML + SER; MQF
1009300310111; DIPROGENTA; DIPROGENTA; NOT FOUND; 0.64 MG/G + 1 MG/G CREM CT BG AL X 30 G; MQF
1009300310101; DIPROGENTA; DIPROGENTA; NOT FOUND; 0.64 MG/G + 1 MG/G POM CT BG AL X 30 G; MQF
1009300310063; DIPROGENTA; DIPROGENTA; NOT FOUND; 0.64 MG/G + 1.0 MG/G CREM CT BG AL X 10 G; MQF
1009300310051; DIPROGENTA; DIPROGENTA; NOT FOUND; 0.64 MG/G + 1.0 MG/G POM CT BG AL X 10 G; MQF
1009300320047; DIPROSALIC; DIPROSALIC; NOT FOUND; 0.64 MG/ML + 20 MG/ML SOL TOP CT FR PLAS OPC X 30 ML; MQF
1009300320130; DIPROSALIC; DIPROSALIC; NOT FOUND; 0.64 MG/ML + 20 MG/ML SOL TOP CT FR PLAS OPC X 10 ML; MQF
1009300320020; DIPROSALIC; DIPROSALIC; NOT FOUND; 0.64 MG/G + 30 MG/G POM CT BG AL X 30 G; MQF
1009300320140; DIPROSALIC; DIPROSALIC; NOT FOUND; 0.64 MG/G + 30 MG/G POM CT BG AL X 10 G; MQF
