1161800630010; ARIMIDEX; ARIMIDEX; NOT FOUND; 1 MG COM REV CT 2 BL AL PLAS INC X 14; AZN
1161800030056; ATENOL; ATENOL; NOT FOUND; 100 MG COM CT BL PLAS INC X 28; AZN
1161800030080; ATENOL; ATENOL; NOT FOUND; 25MG COM CT BL AL PLAS INC X 28; AZN
1161800030031; ATENOL; ATENOL; NOT FOUND; 50 MG COM CT BL AL PLAS IN X 28; AZN
1161800030102; ATENOL; ATENOL; NOT FOUND; 25 MG COM CT  BL AL PLAS INC X 30; AZN
1161800030110; ATENOL; ATENOL; NOT FOUND; 25 MG COM CT  BL AL PLAS INC X 60; AZN
1161800030129; ATENOL; ATENOL; NOT FOUND; 50 MG COM CT  BL AL PLAS INC X 30; AZN
1161800030137; ATENOL; ATENOL; NOT FOUND; 50 MG COM CT  BL AL PLAS INC X 60; AZN
1161800030145; ATENOL; ATENOL; NOT FOUND; 100 MG COM CT  BL AL PLAS INC X 30; AZN
1161800030153; ATENOL; ATENOL; NOT FOUND; 100 MG COM CT  BL AL PLAS INC X 60; AZN
1161800830117; ATACAND HCT; ATACAND HCT; NOT FOUND; 16.0 MG + 12.5 MG COM CT BL AL PLAS INC X 20; AZN
1161800830125; ATACAND HCT; ATACAND HCT; NOT FOUND; 16.0 MG + 12.5 MG COM CT BL AL PLAS INC X 30; AZN
1161800830011; ATACAND HCT; ATACAND HCT; NOT FOUND; 8.0 MG + 12.5 MG COM CT BL AL PLAS INC X 20; AZN
1161800830028; ATACAND HCT; ATACAND HCT; NOT FOUND; 8.0 MG + 12.5 MG COM CT BL AL PLAS INC X 30; AZN
1161800950058; ATACAND; ATACAND; NOT FOUND; 16.0 MG COM CT BL AL PLAS INC X 20 ; AZN
1161800950066; ATACAND; ATACAND; NOT FOUND; 16.0 MG COM CT BL AL PLAS INC X 30; AZN
1161800950031; ATACAND; ATACAND; NOT FOUND; 8.0 MG COM CT BL AL PLAS INC X 20 ; AZN
1161800950041; ATACAND; ATACAND; NOT FOUND; 8.0 MG COM CT BL AL PLAS INC X 30; AZN
1161800950082; ATACAND; ATACAND; NOT FOUND; 16.0 MG COM CT BL AL PLAS INC X 10; AZN
1161800950074; ATACAND; ATACAND; NOT FOUND; 8.0 MG COM CT BL AL PLAS INC X 10; AZN
1161800950090; ATACAND; ATACAND; NOT FOUND; 32MG COM CT BL AL PLAS INC X 10 ; AZN
1161800950104; ATACAND; ATACAND; NOT FOUND; 32MG COM CT BL AL PLAS INC X 20; AZN
1161800950112; ATACAND; ATACAND; NOT FOUND; 32MG COM CT BL AL PLAS INC X 30; AZN
1161802350015; ATACAND COMB; ATACAND COMB; NOT FOUND; 16MG COM + 2.5MG COM LIB PROL CT BL AL/AL 10 X 10; AZN
1161802350023; ATACAND COMB; ATACAND COMB; NOT FOUND; 16MG COM + 2.5MG COM LIB PROL CT BL AL/AL 30 X 30; AZN
1161802350031; ATACAND COMB; ATACAND COMB; NOT FOUND; 16MG COM + 5MG COM LIB PROL CT BL AL/AL 10 X 10; AZN
1161802350041; ATACAND COMB; ATACAND COMB; NOT FOUND; 16MG COM + 5MG COM LIB PROL CT BL AL/AL 30 X 30; AZN
