1161800190010; INDERAL; INDERAL; NOT FOUND; 10 MG COM CT STR AL/AL X 24 ; AZN
1161800190029; INDERAL; INDERAL; NOT FOUND; 40 MG COM CT STR AL/AL X 20; AZN
1161800190037; INDERAL; INDERAL; NOT FOUND; 80 MG COM CT STR AL/AL X 20 ; AZN
1161800190045; INDERAL; INDERAL; NOT FOUND; 10 MG COM CT BL AL/AL X 24; AZN
1161800190053; INDERAL; INDERAL; NOT FOUND; 40 MG COM CT BL AL/AL X 20; AZN
1161800190061; INDERAL; INDERAL; NOT FOUND; 80 MG COM CT BL AL/AL X 20; AZN
1161800190071; INDERAL; INDERAL; NOT FOUND; 10 MG COM CT BL AL/AL X 30; AZN
1161800190088; INDERAL; INDERAL; NOT FOUND; 10 MG COM CT BL AL/AL X 60; AZN
1161800190096; INDERAL; INDERAL; NOT FOUND; 40 MG COM CT BL AL/AL X 30; AZN
1161800190101; INDERAL; INDERAL; NOT FOUND; 40 MG COM CT BL AL/AL X 60; AZN
1161800190118; INDERAL; INDERAL; NOT FOUND; 80 MG COM CT BL AL/AL X 30; AZN
1161800190126; INDERAL; INDERAL; NOT FOUND; 80 MG COM CT BL AL/AL X 60; AZN
1161802360010; IRESSA; IRESSA; NOT FOUND; 250 MG COM REV CT ENV X BL AL/PLAS TRANSP X 30; AZN
