1161800970024; ENTOCORT; ENTOCORT; NOT FOUND; 3 MG CAPS GEL C/ MICROGRANULOS CT FR PLAS OPC X 45; AZN
1161800970016; ENTOCORT; ENTOCORT; NOT FOUND; 2.3 MG COM CT BL AL/AL X 7 + 7 FR PLAS TRANS DIL X 115 ML; AZN
1161802450011; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL AL X 7; AZN
1161802450028; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL AL X 14; AZN
1161802450036; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; AZN
1161802450044; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL AL X 50 (EMB HOSP); AZN
1161802450052; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL AL X 7  ; AZN
1161802450060; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL AL X 14; AZN
1161802450079; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; AZN
1161802450087; ESOMEPRAZOL MAGNÉSIO TRIIDRATADO; ESOMEPRAZOL MAGNESIO TRIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL AL X 50 (EMB HOSP); AZN
1161800870021; EMLA; EMLA; NOT FOUND; 25MG/G + 25MG/G CREM DERM CX 5 BG AL X 5 G + 10 BAND OCL; AZN
1161800870011; EMLA; EMLA; NOT FOUND; 25MG/G + 25MG/G CREM DERM CX BG AL X 5 G + 2 BAND OCL; AZN
1161800870046; EMLA; EMLA; NOT FOUND; 25 MG/G + 25 MG/G DISCOS ADS CX 2; AZN
1161802220011; EXANTA INJ; EXANTA INJ; NOT FOUND; 3 MG/0.3 ML SOL INJ CT 2 SER VD INC INC PREENCH DESCART X 0.3 ML; AZN
1161802220022; EXANTA INJ; EXANTA INJ; NOT FOUND; 3 MG/0.3 ML SOL INJ CT 10 SER VD INC INC PREENCH DESCART X 0.3 ML; AZN
