1161801060072; SYMBICORT TURBUHALER; SYMBICORT TURBUHALER; NOT FOUND; 12MCG/INAL+400MCG/INAL PO INAL CT TB PLASC 60 DOSES; AZN
1161801060013; SYMBICORT TURBUHALER; SYMBICORT TURBUHALER; NOT FOUND; 6 MCG / INAL + 100 MCG / INAL PO INAL CT TB PLAS 6; AZN
1161801060048; SYMBICORT TURBUHALER; SYMBICORT TURBUHALER; NOT FOUND; 6 MCG / INAL + 200 MCG / INAL PO INAL CT TB PLAS 6; AZN
1161800740126; SPLENDIL; SPLENDIL; NOT FOUND; 10 MG COMP LIB PROLONG CT BL AL/AL X 20; AZN
1161800740088; SPLENDIL; SPLENDIL; NOT FOUND; 2.5 MG COMP LIB PROLONG CT BL AL/AL X  20; AZN
1161800740096; SPLENDIL; SPLENDIL; NOT FOUND; 5 MG COMP LIB PROLONG CT BL AL/AL X 20; AZN
1161800740134; SPLENDIL; SPLENDIL; NOT FOUND; 2.5 MG COM LIB PROL CT  BL AL/AL X 30; AZN
1161800740142; SPLENDIL; SPLENDIL; NOT FOUND; 2.5 MG COM LIB PROL CT  BL AL/AL X 60; AZN
1161800740150; SPLENDIL; SPLENDIL; NOT FOUND; 5 MG COM LIB PROL CT BL AL/AL X 30; AZN
1161800740169; SPLENDIL; SPLENDIL; NOT FOUND; 5 MG COM LIB PROL CT BL AL/AL X 60; AZN
1161800740177; SPLENDIL; SPLENDIL; NOT FOUND; 10 MG COM LIB PROL CT BL AL/AL X 30; AZN
1161800740185; SPLENDIL; SPLENDIL; NOT FOUND; 10 MG COM LIB PROL CT BL AL/AL X 60; AZN
1161802410018; SELOZOK FIX; SELOZOK FIX; NOT FOUND; 5 MG + 50 MG COM LIB PROL CT BL AL PLAS INC X 10; AZN
1161802410026; SELOZOK FIX; SELOZOK FIX; NOT FOUND; 5 MG + 50 MG COM LIB PROL CT BL AL PLAS INC X 30; AZN
1161802320043; SEROQUEL; SEROQUEL; NOT FOUND; 100 MG COM REV CT BL PVC OPC AL X 28; AZN
1161802320061; SEROQUEL; SEROQUEL; NOT FOUND; 200 MG COM REV CT BL PVC OPC AL X 28; AZN
1161802320019; SEROQUEL; SEROQUEL; NOT FOUND; 25 MG COM REV CT BL PVC OPC AL X 14 ; AZN
1161802320086; SEROQUEL; SEROQUEL; NOT FOUND; 300 MG COM REV CT BL PVC OPC AL X 14; AZN
1161802320078; SEROQUEL; SEROQUEL; NOT FOUND; 300 MG COM REV CT BL PVC OPC AL X 28; AZN
1161802320035; SEROQUEL; SEROQUEL; NOT FOUND; 100 MG COM REV CT BL PVC OPC AL X 14  ; AZN
1161802320051; SEROQUEL; SEROQUEL; NOT FOUND; 200 MG COM REV CT BL PVC OPC AL X 14 ; AZN
1161802320094; SEROQUEL XRO; SEROQUEL XRO; NOT FOUND; 50 MG COM REV LIB PROL CT BL PVC OPC AL X 10; AZN
1161802320124; SEROQUEL XRO; SEROQUEL XRO; NOT FOUND; 200 MG COM REV LIB PROL CT BL PVC OPC AL X 10; AZN
1161802320132; SEROQUEL XRO; SEROQUEL XRO; NOT FOUND; 200 MG COM REV LIB PROL CT BL PVC OPC AL X 30; AZN
1161802320140; SEROQUEL XRO; SEROQUEL XRO; NOT FOUND; 200 MG COM REV LIB PROL CT BL PVC OPC AL X 60; AZN
1161802320159; SEROQUEL XRO; SEROQUEL XRO; NOT FOUND; 300 MG COM REV LIB PROL CT BL PVC OPC AL X 10; AZN
1161802320167; SEROQUEL XRO; SEROQUEL XRO; NOT FOUND; 300 MG COM REV LIB PROL CT BL PVC OPC AL X 30; AZN
